Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Directed Incremental Symbolic Execution,G. Yang; S. Person; N. Rungta; S. Khurshid,"Texas State University, San Marcos, TX",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,24,1,1,42,"<p>The last few years have seen a resurgence of interest in the use of symbolic executionäóîa program analysis technique developed more than three decades ago to analyze program execution paths. Scaling symbolic execution to real systems remains challenging despite recent algorithmic and technological advances. An effective approach to address scalability is to <i>reduce</i> the scope of the analysis. For example, in regression analysis, <i>differences</i> between two related program versions are used to guide the analysis. While such an approach is intuitive, finding efficient and precise ways to identify program differences, and characterize their impact on how the program executes has proved challenging in practice.</p> <p>In this article, we present <i>Directed Incremental Symbolic Execution</i> (DiSE), a novel technique for detecting and characterizing the impact of program changes to scale symbolic execution. The novelty of DiSE is to combine the <i>efficiencies</i> of static analysis techniques to compute program difference information with the <i>precision</i> of symbolic execution to explore program execution paths and generate path conditions affected by the differences. DiSE complements other reduction and bounding techniques for improving symbolic execution. Furthermore, DiSE does not require analysis results to be carried forward as the software evolvesäóîonly the source code for two related program versions is required. An experimental evaluation using our implementation of DiSE illustrates its effectiveness at detecting and characterizing the effects of program changes.</p>",1049-331X;1049331X,,10.1145/2629536,,,Program differencing;software evolution;symbolic execution,,,,,4,,,,,,14-Sep,,ACM,ACM Journals & Magazines,,41
Automatic Workarounds: Exploiting the Intrinsic Redundancy of Web Applications,A. Carzaniga; A. Gorla; N. Perino; M. PezzíÂ,"University of Lugano, Switzerland",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,24,3,1,42,"<p>Despite the best intentions, the competence, and the rigorous methods of designers and developers, software is often delivered and deployed with faults. To cope with imperfect software, researchers have proposed the concept of <i>self-healing</i> for software systems. The ambitious goal is to create software systems capable of detecting and responding äóìautonomicallyäóù to functional failures, or perhaps even preempting such failures, to maintain a correct functionality, possibly with acceptable degradation. We believe that self-healing can only be an expression of some form of redundancy, meaning that, to automatically fix a faulty behavior, the correct behavior must be already present somewhere, in some form, within the software system either explicitly or implicitly. One approach is to <i>deliberately</i> design and develop redundant systems, and in fact this kind of deliberate redundancy is the essential ingredient of many fault tolerance techniques. However, this type of redundancy is also generally expensive and does not always satisfy the time and cost constraints of many software projects.</p> <p>With this article we take a different approach. We observe that modern software systems naturally acquire another type of redundancy that is not introduced deliberately but rather arises <i>intrinsically</i> as a by-product of modern modular software design. We formulate this notion of intrinsic redundancy and we propose a technique to exploit it to achieve some level of self-healing. We first demonstrate that software systems are indeed intrinsically redundant. Then we develop a way to express and exploit this redundancy to tolerate faults with <i>automatic workarounds.</i> In essence, a workaround amounts to replacing some failing operations with alternative operations that are semantically equivalent in their intended effect, but that execute different code and ultimately avoid the failure. The technique we propose finds such - orkarounds automatically. We develop this technique in the context of Web applications. In particular, we implement this technique within a browser extension, which we then use in an evaluation with several known faults and failures of three popular Web libraries. The evaluation demonstrates that automatic workarounds are effective: out of the nearly 150 real faults we analyzed, 100 could be overcome with automatic workarounds, and half of these workarounds found automatically were not publicly known before.</p>",1049-331X;1049331X,,10.1145/2755970,,,Automatic workarounds;Web API;Web applications,,,,,,,,,,,15-May,,ACM,ACM Journals & Magazines,,41
Achieving scalable model-based testing through test case diversity,H. Hemmati; A. Arcuri; L. Briand,"Simula Research Laboratory, Norway and University of Oslo, Norway",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,1,1,42,"<p>The increase in size and complexity of modern software systems requires scalable, systematic, and automated testing approaches. Model-based testing (MBT), as a systematic and automated test case generation technique, is being successfully applied to verify industrial-scale systems and is supported by commercial tools. However, scalability is still an open issue for large systems, as in practice there are limits to the amount of testing that can be performed in industrial contexts. Even with standard coverage criteria, the resulting test suites generated by MBT techniques can be very large and expensive to execute, especially for system level testing on real deployment platforms and network facilities. Therefore, a scalable MBT technique should be flexible regarding the size of the generated test suites and should be easily accommodated to fit resource and time constraints. Our approach is to select a subset of the generated test suite in such a way that it can be realistically executed and analyzed within the time and resource constraints, while preserving the fault revealing power of the original test suite to a maximum extent. In this article, to address this problem, we introduce a family of similarity-based test case selection techniques for test suites generated from state machines. We evaluate 320 different similarity-based selection techniques and then compare the effectiveness of the best similarity-based selection technique with other common selection techniques in the literature. The results based on two industrial case studies, in the domain of embedded systems, show significant benefits and a large improvement in performance when using a similarity-based approach. We complement these analyses with further studies on the scalability of the technique and the effects of failure rate on its effectiveness. We also propose a method to identify optimal tradeoffs between the number of test cases to run and fault detection.</p>",1049-331X;1049331X,,10.1145/2430536.2430540,,,Test case selection;model-based testing;search-based software engineering;similarity function;test case minimization,,,,,27,,,,,,13-Feb,,ACM,ACM Journals & Magazines,,41
Degree-of-knowledge: Modeling a developer's knowledge of code,T. Fritz; G. C. Murphy; E. Murphy-Hill; J. Ou; E. Hill,University of Zurich,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,2,1,42,"<p>As a software system evolves, the system's codebase constantly changes, making it difficult for developers to answer such questions as who is knowledgeable about particular parts of the code or who needs to know about changes made. In this article, we show that an externalized model of a developer's individual knowledge of code can make it easier for developers to answer such questions. We introduce a degree-of-knowledge model that computes automatically, for each source-code element in a codebase, a real value that represents a developer's knowledge of that element based on a developer's authorship and interaction data. We present evidence that shows that both authorship and interaction data of the code are important in characterizing a developer's knowledge of code. We report on the usage of our model in case studies on expert finding, knowledge transfer, and identifying changes of interest. We show that our model improves upon an existing expertise-finding approach and can accurately identify changes for which a developer should likely be aware. We discuss how our model may provide a starting point for knowledge transfer but that more refinement is needed. Finally, we discuss the robustness of the model across multiple development sites.</p>",1049-331X;1049331X,,10.1145/2512207,,,Authorship;degree-of-interest;degree-of-knowledge;development environment;expertise;onboarding;recommendation,,,,,6,,,,,,14-Mar,,ACM,ACM Journals & Magazines,,41
Business Process Model Merging: An Approach to Business Process Consolidation,M. La Rosa; M. Dumas; R. Uba; R. Dijkman,"Queensland University of Technology and NICTA, Australia",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,2,1,42,"<p>This article addresses the problem of constructing consolidated business process models out of collections of process models that share common fragments. The article considers the construction of unions of multiple models (called <i>merged models</i>) as well as intersections (called <i>digests</i>). Merged models are intended for analysts who wish to create a model that subsumes a collection of process models -- typically representing variants of the same underlying process -- with the aim of replacing the variants with the merged model. Digests, on the other hand, are intended for analysts who wish to identify the most recurring fragments across a collection of process models, so that they can focus their efforts on optimizing these fragments. The article presents an algorithm for computing merged models and an algorithm for extracting digests from a merged model. The merging and digest extraction algorithms have been implemented and tested against collections of process models taken from multiple application domains. The tests show that the merging algorithm produces compact models and scales up to process models containing hundreds of nodes. Furthermore, a case study conducted in a large insurance company has demonstrated the usefulness of the merging and digest extraction operators in a practical setting.</p>",1049-331X;1049331X,,10.1145/2430545.2430547,,,Business process model;graph matching;model merging;variability,,,,,5,,,,,,13-Mar,,ACM,ACM Journals & Magazines,,41
Finite satisfiability of UML class diagrams with constrained class hierarchy,M. Balaban; A. Maraee,Ben-Gurion University of the Negev,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,3,1,42,"<p>Models lie at the heart of the emerging model-driven engineering approach. In order to guarantee precise, consistent, and correct models, there is a need for efficient powerful methods for verifying model correctness. Class diagram is the central language within UML. Its correctness problems involve issues of contradiction, namely the <i>consistency</i> problem, and issues of finite instantiation, namely the <i>finite satisfiability</i> problem.</p> <p>This article analyzes the problem of finite satisfiability of class diagrams with class hierarchy constraints and generalization-set constraints. The article introduces the <i>FiniteSat</i> algorithm for efficient detection of finite satisfiability in such class diagrams, and analyzes its limitations in terms of complex hierarchy structures. FiniteSat is strengthened in two directions. First, an algorithm for identification of the cause for a finite satisfiability problem is introduced. Second, a method for propagation of generalization-set constraints in a class diagram is introduced. The propagation method serves as a preprocessing step that improves FiniteSat performance, and helps developers in clarifying intended constraints. These algorithms are implemented in the <i>FiniteSatUSE</i> tool [BGU Modeling Group 2011b], as part of our ongoing effort for constructing a model-level integrated development environment [BGU Modeling Group 2010a].</p>",1049-331X;1049331X,,10.1145/2491509.2491518,,,Class hierarchy constraints;UML class diagram;class hierarchy structure;detection and cause identification;finite satisfiability;generalization set constraints;identification graph;multiplicity constraints;solvability of linear inequality system,,,,,2,,,,,,13-Jul,,ACM,ACM Journals & Magazines,,41
Model-based synthesis of control software from system-level formal specifications,F. Mari; I. Melatti; I. Salvo; E. Tronci,"Sapienza University of Rome, Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,1,1,42,"<p>Many <i>embedded systems</i> are indeed <i>software-based control systems</i>, that is, control systems whose controller consists of <i>control software</i> running on a microcontroller device. This motivates investigation on <i>formal model-based design</i> approaches for automatic synthesis of embedded systems control software. We present an algorithm, along with a tool QKS implementing it, that from a formal model (as a <i>discrete-time linear hybrid system</i>) of the controlled system (<i>plant</i>), <i>implementation specifications</i> (that is, number of bits in the <i>Analog-to-Digital</i>, AD, conversion) and <i>system-level formal specifications</i> (that is, safety and liveness requirements for the <i>closed loop system</i>) returns correct-by-construction control software that has a <i>Worst-Case Execution Time</i> (WCET) linear in the number of AD bits and meets the given specifications. We show feasibility of our approach by presenting experimental results on using it to synthesize control software for a buck DC-DC converter, a widely used mixed-mode analog circuit, and for the inverted pendulum.</p>",1049-331X;1049331X,,10.1145/2559934,,,Hybrid systems;correct-by-construction control software synthesis;model-based design of control software,,,,,6,,,,,,14-Feb,,ACM,ACM Journals & Magazines,,41
PrIMe: A methodology for developing provenance-aware applications,S. Miles; P. Groth; S. Munroe; L. Moreau,"King's College London, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,20,3,1,42,"<p>Provenance refers to the past processes that brought about a given (version of an) object, item or entity. By knowing the provenance of data, users can often better understand, trust, reproduce, and validate it. A provenance-aware application has the functionality to answer questions regarding the provenance of the data it produces, by using documentation of past processes. PrIMe is a software engineering technique for adapting application designs to enable them to interact with a provenance middleware layer, thereby making them provenance-aware. In this article, we specify the steps involved in applying PrIMe, analyze its effectiveness, and illustrate its use with two case studies, in bioinformatics and medicine.</p>",1049-331X;1049331X,,10.1145/2000791.2000792,,,Methodology;Provenance,,,,,12,,,,,,11-Aug,,ACM,ACM Journals & Magazines,,41
Test Case Prioritization Using Extended Digraphs,S. S. Emam; J. Miller,"University of Alberta, Canada",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,25,1,1,41,"<p>Although many test case prioritization techniques exist, their performance is far from perfect. Hence, we propose a new fault-based test case prioritization technique to promote fault-revealing test cases in <i>model-based testing</i> (MBT) procedures. We seek to improve the fault detection rateäóîa measure of how fast a test suite is able to detect faults during testingäóîin scenarios such as regression testing. We propose an extended digraph model as the basis of this new technique. The model is realized using a novel <i>reinforcement-learning</i> (RL)- and hidden-Markov-model (HMM)-based technique which is able to prioritize test cases for regression testing objectives. We present a method to initialize and train an HMM based upon RL concepts applied to an application's digraph model. The model prioritizes test cases based upon forward probabilities, a new test case prioritization approach. In addition, we also propose an alternative approach to prioritizing test cases according to the amount of change they cause in applications. To evaluate the effectiveness of the proposed techniques, we perform experiments on <i>graphical user interface</i> (GUI)-based applications and compare the results with state-of-the-art test case prioritization approaches. The experimental results show that the proposed technique is able to detect faults early within test runs.</p>",1049-331X;1049331X,,10.1145/2789209,,,Fault-based test case prioritization;GUI testing;HMM;additional statement coverage;model-based testing (MBT);random prioritization;reinforcement learning,,,,,1,,,,,,15-Dec,,ACM,ACM Journals & Magazines,,40
"An Information Foraging Theory Perspective on Tools for Debugging, Refactoring, and Reuse Tasks",S. D. Fleming; C. Scaffidi; D. Piorkowski; M. Burnett; R. Bellamy; J. Lawrance; I. Kwan,Oregon State University and University of Memphis,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,2,1,41,"<p>Theories of human behavior are an important but largely untapped resource for software engineering research. They facilitate understanding of human developersäó» needs and activities, and thus can serve as a valuable resource to researchers designing software engineering tools. Furthermore, theories abstract beyond specific methods and tools to fundamental principles that can be applied to new situations. Toward filling this gap, we investigate the applicability and utility of Information Foraging Theory (IFT) for understanding information-intensive software engineering tasks, drawing upon literature in three areas: debugging, refactoring, and reuse. In particular, we focus on software engineering tools that aim to support information-intensive activities, that is, activities in which developers spend time seeking information. Regarding applicability, we consider whether and how the mathematical equations within IFT can be used to explain why certain existing tools have proven empirically successful at helping software engineers. Regarding utility, we applied an IFT perspective to identify recurring <i>design patterns</i> in these successful tools, and consider what opportunities for future research are revealed by our IFT perspective.</p>",1049-331X;1049331X,,10.1145/2430545.2430551,,,Information foraging;software maintenance,,,,,13,,,,,,13-Mar,,ACM,ACM Journals & Magazines,,40
Path exploration based on symbolic output,D. Qi; H. D. T. Nguyen; A. Roychoudhury,"National University of Singapore, Singapore",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,4,1,41,"<p>Efficient program path exploration is important for many software engineering activities such as testing, debugging, and verification. However, enumerating all paths of a program is prohibitively expensive. In this article, we develop a partitioning of program paths based on the program output. Two program paths are placed in the same partition if they derive the output similarly, that is, the symbolic expression connecting the output with the inputs is the same in both paths. Our grouping of paths is gradually created by a smart path exploration. Our experiments show the benefits of the proposed path exploration in test-suite construction.</p> <p>Our path partitioning produces a semantic signature of a programäóîdescribing all the different symbolic expressions that the output can assume along different program paths. To reason about changes between program versions, we can therefore analyze their semantic signatures. In particular, we demonstrate the applications of our path partitioning in testing and debugging of software regressions.</p>",1049-331X;1049331X,,10.1145/2522920.2522925,,,Software testing;software evolution;symbolic execution,,,,,2,,,,,,13-Oct,,ACM,ACM Journals & Magazines,,40
Join point interfaces for safe and flexible decoupling of aspects,E. Bodden; í_. Tanter; M. Inostroza,"Technische Universit&#228;t Darmstadt, Germany",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,1,1,41,"<p>In current aspect-oriented systems, aspects usually carry, through their pointcuts, explicit references to the base code. Those references are fragile and hinder important software engineering properties such as modular reasoning and independent evolution of aspects and base code. In this work, we introduce a novel abstraction called Join Point Interface, which, by design, aids modular reasoning and independent evolution by decoupling aspects from base code and by providing a modular type-checking algorithm. Join point interfaces can be used both with implicit announcement through pointcuts, and with explicit announcement, using closure join points. Join point interfaces further offer polymorphic dispatch on join points, with an advice-dispatch semantics akin to multimethods. To support flexible join point matching, we incorporate into our language an earlier proposal for generic advice, and introduce a mechanism for controlled global quantification. We motivate each language feature in detail, showing that it is necessary to obtain a language design that is both type safe and flexible enough to support typical aspect-oriented programming idioms. We have implemented join point interfaces as an open-source extension to AspectJ. A case study on existing aspect-oriented programs supports our design, and in particular shows the necessity of both generic interfaces and some mechanism for global quantification.</p>",1049-331X;1049331X,,10.1145/2559933,,,Aspect-oriented programming;advice dispatch;explicit announcement;implicit announcement;interfaces;join point polymorphism;modularity;typing,,,,,2,,,,,,14-Feb,,ACM,ACM Journals & Magazines,,40
A Compiler for Multimodal Scenarios: Transforming LSCs into AspectJ,S. Maoz; D. Harel; A. Kleinbort,The Weizmann Institute of Science,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,20,4,1,41,"<p>We exploit the main similarity between the aspect-oriented programming paradigm and the inter-object, scenario-based approach to specification, in order to construct a new way of executing systems based on the latter. Specifically, we transform multimodal scenario-based specifications, given in the visual language of <i>live sequence charts</i> (LSC), into what we call <i>scenario aspects</i>, implemented in AspectJ. Unlike synthesis approaches, which attempt to take the inter-object scenarios and construct intra-object state-based per-object specifications or a single controller automaton, we follow the ideas behind the LSC play-out algorithm to coordinate the simultaneous monitoring and direct execution of the specified scenarios. Thus, the structure of the specification is reflected in the structure of the generated code; the high-level inter-object requirements and their structure are not lost in the translation.</p> <p>The transformation/compilation scheme is fully implemented in a UML2-compliant tool we term the <i>S2A compiler</i> (for Scenarios to Aspects), which provides full code generation of reactive behavior from inter-object multimodal scenarios. S2A supports advanced scenario-based programming features, such as multiple instances and exact and symbolic parameters. We demonstrate our work with an application whose inter-object behaviors are specified using LSCs. We discuss advantages and challenges of the compilation scheme in the context of the more general vision of scenario-based programming.</p>",1049-331X;1049331X,,10.1145/2000799.2000804,,,Aspect oriented programming;UML sequence diagrams;code generation;inter-object approach;live sequence charts;scenario-based programming;scenarios;visual formalisms,,,,,2,1,,,,,11-Sep,,ACM,ACM Journals & Magazines,,40
Verification and Validation of UML Conceptual Schemas with OCL Constraints,A. Queralt; E. Teniente,Universitat Polit&#232;cnica de Catalunya - BarcelonaTech,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2012,21,2,1,41,"<p>To ensure the quality of an information system, it is essential that the conceptual schema that represents the knowledge about its domain is semantically correct. The semantic correctness of a conceptual schema can be seen from two different perspectives. On the one hand, from the point of view of its definition, a conceptual schema must be <i>right</i>. This is ensured by means of verification techniques that check whether the schema satisfies several correctness properties. On the other hand, from the point of view of the requirements that the information system should satisfy, a schema must also be <i>the right one</i>. This is ensured by means of validation techniques, which help the designer understand the exact meaning of a schema and to see whether it corresponds to the requirements. In this article we propose an approach to verify and validate UML conceptual schemas, with arbitrary constraints formalized in OCL. We have also implemented our approach to show its feasibility.</p>",1049-331X;1049331X,,10.1145/2089116.2089123,,,Conceptual modeling;OCL;constraints,,,,,4,,,,,,12-Mar,,ACM,ACM Journals & Magazines,,40
Augmenting Field Data for Testing Systems Subject to Incremental Requirements Changes,D. Di Nardo; F. Pastore; L. Briand,"University of Luxembourg, Luxembourg",ACM Transactions on Software Engineering and Methodology (TOSEM),20170615,2017,26,1,1,40,"<p>When testing data processing systems, software engineers often use real-world data to perform system-level testing. However, in the presence of new data requirements, software engineers may no longer benefit from having real-world data with which to perform testing. Typically, new test inputs complying with the new requirements have to be manually written.</p> <p>We propose an automated model-based approach that combines data modelling and constraint solving to modify existing field data to generate test inputs for testing new data requirements. The approach scales in the presence of complex and structured data, thanks to both the reuse of existing field data and the adoption of an innovative input generation algorithm based on slicing the model into parts.</p> <p>We validated the scalability and effectiveness of the proposed approach using an industrial case study. The empirical study shows that the approach scales in the presence of large amounts of structured and complex data. The approach can produce, within a reasonable time, test input data that is over ten times larger in size than the data generated with constraint solving only. We also demonstrate that the generated test inputs achieve more code coverage than the test cases implemented by experienced software engineers.</p>",1049-331X;1049331X,,10.1145/3053430,,,Alloy;Data Processing Systems;Model Slicing;System Testing,,,,,,,,,,,17-Jul,,ACM,ACM Journals & Magazines,,39
A Continuous ASM Modelling Approach to Pacemaker Sensing,R. Banach; H. Zhu; W. Su; X. Wu,"University of Manchester, Manchester, U.K.",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,24,1,1,40,"<p>The cardiac pacemaker system, proposed as a problem topic in the Verification Grand Challenge, offers a range of difficulties to address for formal specification, development, and verification technologies. We focus on the sensing problem, the question of whether the heart has produced a spontaneous heartbeat or not. This question is plagued by uncertainties arising from the often unpredictable environment that a real pacemaker finds itself in. We develop a time domain tracking approach to this problem, as a complement to the usual frequency domain approach most frequently used. We develop our case study in the continuous ASM (Abstract State Machine) formalism, which is briefly summarised, through a series of refinement and retrenchment steps, each adding new levels of complexity to the model.</p>",1049-331X;1049331X,,10.1145/2610375,,,Continuous ASM;cardiac pacemakers;rigorous design and development;sensing,,,,,,,,,,,14-Sep,,ACM,ACM Journals & Magazines,,39
Automated cookie collection testing,A. F. Tappenden; J. Miller,"The King's University College, Edmonton, AB, Canada",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,1,1,40,"<p>Cookies are used by over 80&percnt; of Web applications utilizing dynamic Web application frameworks. Applications deploying cookies must be rigorously verified to ensure that the application is robust and secure. Given the intense time-to-market pressures faced by modern Web applications, testing strategies that are low cost and automatable are required. Automated Cookie Collection Testing (CCT) is presented, and is empirically demonstrated to be a low-cost and highly effective automated testing solution for modern Web applications. Automatable test oracles and evaluation metrics specifically designed for Web applications are presented, and are shown to be significant diagnostic tests. Automated CCT is shown to detect faults within five real-world Web applications. A case study of over 580 test results for a single application is presented demonstrating that automated CCT is an effective testing strategy. Moreover, CCT is found to detect security bugs in a Web application released into full production.</p>",1049-331X;1049331X,,10.1145/2559936,,,Cookies;Web application testing;adaptive random testing;automated testing;software testing;test generation;test strategies,,,,,1,,,,,,14-Feb,,ACM,ACM Journals & Magazines,,39
Exception handlers for healing component-based systems,H. Chang; L. Mariani; M. PezzíÂ,"University of Milano Bicocca, Milano, Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,4,1,40,"<p>To design effective exception handlers, developers must predict at design time the exceptional events that may occur at runtime, and must implement the corresponding handlers on the basis of their predictions. Designing exception handlers for component-based software systems is particularly difficult because the information required to build handlers is distributed between component and application developers. Component developers know the internal details of the components but ignore the applications, while application developers own the applications but cannot access the details required to implement handlers in components.</p> <p>This article addresses the problem of automatically healing the infield failures that are caused by faulty integration of OTS components. In the article, we propose a technique and a methodology to decouple the tasks of component and application developers, who will be able to share information asynchronously and independently, and communicate implicitly by developing and deploying what we call healing connectors. Component developers implement healing connectors on the basis of information about the integration problems frequently experienced by application developers. Application developers easily and safely install healing connectors in their applications without knowing the internal details of the connectors. Healing connectors heal failures activated by exceptions raised in the OTS components actually deployed in the system.</p> <p>The article defines healing connectors, introduces a methodology to develop and deploy healing connectors, and presents several case studies that indicate that healing connectors are effective, reusable and efficient.</p>",1049-331X;1049331X,,10.1145/2522920.2522923,,,COTS components;Exception handling in component-based software systems;component-based software engineering;healing connectors;healing patterns;self-healing,,,,,3,,,,,,13-Oct,,ACM,ACM Journals & Magazines,,39
Architecture-centric support for adaptive service collaborations,R. Haesevoets; D. Weyns; T. Holvoet,"IBBT-distrinet, katholieke universiteit leuven, Belgium",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,1,1,40,"<p>In today's volatile business environments, collaboration between information systems, both within and across company borders, has become essential to success. An efficient supply chain, for example, requires the collaboration of distributed and heterogeneous systems of multiple companies. Developing such collaborative applications and building the supporting information systems poses several engineering challenges. A key challenge is to manage the ever-growing design complexity. In this article, we argue that software architecture should play a more prominent role in the development of collaborative applications. This can help to better manage design complexity by modularizing collaborations and separating concerns. State-of-the-art solutions, however, often lack proper abstractions for modeling collaborations at architectural level or do not reify these abstractions at detailed design and implementation level. Developers, on the other hand, rely on middleware, business process management, and Web services, techniques that mainly focus on low-level infrastructure.</p> <p>To address the problem of managing the design complexity of collaborative applications, we present Macodo. Macodo consists of three complementary parts: (1) a set of abstractions for modeling adaptive collaborations, (2) a set of architectural views, the main contribution of this article, that reify these abstractions at architectural level, and (3) a proof-of-concept middleware infrastructure that supports the architectural abstractions at design and implementation level. We evaluate the architectural views in a controlled experiment. Results show that the use of Macodo can reduce fault density and design complexity, and improve reuse and productivity. The main contributions of this article are illustrated in a supply chain management case.</p>",1049-331X;1049331X,,10.1145/2559937,,,Service-oriented architecture (SOA);Web services;agent organizations;architectural views;collaborative systems;empirical evaluation;middleware;role-based modeling;software architecture,,,,,4,,,,,,14-Feb,,ACM,ACM Journals & Magazines,,39
A theoretical analysis of the risk evaluation formulas for spectrum-based fault localization,X. Xie; T. Y. Chen; F. C. Kuo; B. Xu,"Swinburne University of Technology, Australia",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,4,1,40,"<p>An important research area of Spectrum-Based Fault Localization (SBFL) is the effectiveness of risk evaluation formulas. Most previous studies have adopted an empirical approach, which can hardly be considered as sufficiently comprehensive because of the huge number of combinations of various factors in SBFL. Though some studies aimed at overcoming the limitations of the empirical approach, none of them has provided a completely satisfactory solution. Therefore, we provide a theoretical investigation on the effectiveness of risk evaluation formulas. We define two types of relations between formulas, namely, equivalent and better. To identify the relations between formulas, we develop an innovative framework for the theoretical investigation. Our framework is based on the concept that the determinant for the effectiveness of a formula is the number of statements with risk values higher than the risk value of the faulty statement. We group all program statements into three disjoint sets with risk values higher than, equal to, and lower than the risk value of the faulty statement, respectively. For different formulas, the sizes of their sets are compared using the notion of subset. We use this framework to identify the maximal formulas which should be the only formulas to be used in SBFL.</p>",1049-331X;1049331X,,10.1145/2522920.2522924,,,Debugging;risk evaluation formulas;spectrum-based fault localization;testing,,,,,44,,,,,,13-Oct,,ACM,ACM Journals & Magazines,,39
SIP: Optimal Product Selection from Feature Models Using Many-Objective Evolutionary Optimization,R. M. Hierons; M. Li; X. Liu; S. Segura; W. Zheng,"Brunel University London, Middlesex, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,2,1,39,"<p>A feature model specifies the sets of features that define valid products in a software product line. Recent work has considered the problem of choosing optimal products from a feature model based on a set of user preferences, with this being represented as a many-objective optimization problem. This problem has been found to be difficult for a purely search-based approach, leading to classical many-objective optimization algorithms being enhanced either by adding in a valid product as a seed or by introducing additional mutation and replacement operators that use an SAT solver. In this article, we instead enhance the search in two ways: by providing a novel representation and by optimizing first on the number of constraints that hold and only then on the other objectives. In the evaluation, we also used feature models with realistic attributes, in contrast to previous work that used randomly generated attribute values. The results of experiments were promising, with the proposed (SIP) method returning valid products with six published feature models and a randomly generated feature model with 10,000 features. For the model with 10,000 features, the search took only a few minutes.</p>",1049-331X;1049331X,,10.1145/2897760,,,Product selection,,,,,3,,,,,,16-May,,ACM,ACM Journals & Magazines,,38
Learning Weighted Assumptions for Compositional Verification of Markov Decision Processes,F. He; X. Gao; M. Wang; B. Y. Wang; L. Zhang,"KLiss, MoE; TNList; School of Software, Tsinghua University, Beijing, China",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,3,1,39,"<p>Probabilistic models are widely deployed in various systems. To ensure their correctness, verification techniques have been developed to analyze probabilistic systems. We propose the first sound and complete learning-based compositional verification technique for probabilistic safety properties on concurrent systems where each component is an Markov decision process. Different from previous works, weighted assumptions are introduced to attain completeness of our framework. Since weighted assumptions can be implicitly represented by multiterminal binary decision diagrams (MTBDDs), we give an >i<L>/i<*-based learning algorithm for MTBDDs to infer weighted assumptions. Experimental results suggest promising outlooks for our compositional technique.</p>",1049-331X;1049331X,,10.1145/2907943,,,Compositional verification;algorithmic learning;probabilistic model checking,,,,,,,,,,,16-Aug,,ACM,ACM Journals & Magazines,,38
Some Code Smells Have a Significant but Small Effect on Faults,T. Hall; M. Zhang; D. Bowes; Y. Sun,Brunel University,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,23,4,1,39,"<p>We investigate the relationship between faults and five of Fowler et al.'s least-studied smells in code: Data Clumps, Switch Statements, Speculative Generality, Message Chains, and Middle Man. We developed a tool to detect these five smells in three open-source systems: Eclipse, ArgoUML, and Apache Commons. We collected fault data from the change and fault repositories of each system. We built Negative Binomial regression models to analyse the relationships between smells and faults and report the McFadden effect size of those relationships. Our results suggest that Switch Statements had no effect on faults in any of the three systems; Message Chains increased faults in two systems; Message Chains which occurred in larger files reduced faults; Data Clumps reduced faults in Apache and Eclipse but increased faults in ArgoUML; Middle Man reduced faults only in ArgoUML, and Speculative Generality reduced faults only in Eclipse. File size alone affects faults in some systems but not in all systems. Where smells did significantly affect faults, the size of that effect was small (always under 10 percent). Our findings suggest that some smells do indicate fault-prone code in some circumstances but that the effect that these smells have on faults is small. Our findings also show that smells have different effects on different systems. We conclude that arbitrary refactoring is unlikely to significantly reduce fault-proneness and in some cases may increase fault-proneness.</p>",1049-331X;1049331X,,10.1145/2629648,,,Software code smells;defects,,,,,5,,,,,,14-Aug,,ACM,ACM Journals & Magazines,,38
