Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
AI Techniques in Software Engineering Paradigm,"Chinese University of Hong Kong, Hong Kong, Hong Kong",Proceedings of the 2018 ACM/SPEC International Conference on Performance Engineering,20180426,2018,,,2,2
What proportion of vulnerabilities can be attributed to ordinary coding errors?: poster,National Institute of Standards and Technology,Proceedings of the 5th Annual Symposium and Bootcamp on Hot Topics in the Science of Security,20180426,2018,,,1,1
Visualizing Gaze Direction to Support Video Coding of Social Attention for Children with Autism Spectrum Disorder,"University of Tokyo, Tokyo, Japan",23rd International Conference on Intelligent User Interfaces,20180426,2018,,,571,582
Benchmarks for software clone detection: A ten-year retrospective,"Department of Computer Science, University of Saskatchewan, Canada","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20180405,2018,,,26,37
Towards Semantic Approaches for General-Purpose End-User Development,,2018 Second IEEE International Conference on Robotic Computing (IRC),20180405,2018,,,369,376
"Large scale clone detection, analysis, and benchmarking: An evolutionary perspective (Keynote)","Department of Computer Science, University of Saskatchewan, Canada",2018 IEEE 12th International Workshop on Software Clones (IWSC),20180329,2018,,,1,1
Are there functionally similar code clones in practice?,"University of Stuttgart, Germany",2018 IEEE 12th International Workshop on Software Clones (IWSC),20180329,2018,,,2,8
Design of Low-Density Parity Check Codes for 5G New Radio,,IEEE Communications Magazine,20180315,2018,56,3,28,34
Combination of linear power flow tools for voltages and power estimation on MV networks,"L2EP, Lille, France",CIRED - Open Access Proceedings Journal,20180315,2017,2017,1,2157,2160
Framework Information Based Java Software Architecture Recovery,"State Key Lab. of Software Dev. Environ., Beihang Univ., Beijing, China",2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW),20180312,2017,,,114,120
Low voltage ride-through capability enhancement of grid-connected permanent magnet synchronous generator driven directly by variable speed wind turbine: a review,"King Saud University, Saudi Arabia",The Journal of Engineering,20180312,2017,2017,13,1750,1754
"Cloud Based Collaborative Software Development: A Review, Gap Analysis and Future Directions","Cloud Comput. & Applic. Res. Lab., Staffordshire Univ., Stoke-on-Trent, UK",2017 IEEE/ACS 14th International Conference on Computer Systems and Applications (AICCSA),20180312,2017,,,901,909
"Teaching, Analyzing, Designing and Interactively Simulating Sliding Mode Control","Institut de Rob&#x00F2;tica i Inform&#x00E0;tica Industrial, Universitat Polit&#x00E8;cnica de Catalunya, Barcelona, Spain",IEEE Access,20180409,2018,6,,16783,16794
"Analysis and comparison of electronic digital signature state standards GOST R 34.10-1994, GOST R 34.10-2001 and GOST R 34.10-2012","Saint-Petersburg National Research University of Information Technologies, Saint-Petersburg, Russia",Proceedings of the 10th International Conference on Security of Information and Networks,20180308,2017,,,262,267
Hybrid Sorting Method for Successive Cancellation List Decoding of Polar Codes,"University of Chinese Academy of Sciences, Institute of Automation, Chinese Academy of Sciences, Beijing",Proceedings of the 2017 the 7th International Conference on Communication and Network Security,20180308,2017,,,23,26
"A Comprehensive Study of Implemented International Standards, Technical Challenges, Impacts and Prospects for Electric Vehicles","School of Electronic, Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China",IEEE Access,20180327,2018,6,,13866,13890
On the Synchronization Bottleneck of OpenStack Swift-like Cloud Storage Systems,"School of Software, Tsinghua University, 12442 Beijing, Beijing China 100084 (e-mail: brmk@vip.qq.com)",IEEE Transactions on Parallel and Distributed Systems,,2018,Early Access,Early Access,1,1
If Memory Serves: Towards Designing and Evaluating a Game for Teaching Pointers to Undergraduate Students,"Knox College, Galesburg, IL, USA",Proceedings of the 2017 ITiCSE Conference on Working Group Reports,20180222,2017,,,25,46
Sensibility Testbed: Automated IRB Policy Enforcement in Mobile Research Apps,"University of Colorado, Colorado Springs, Colorado Springs, CO, USA",Proceedings of the 19th International Workshop on Mobile Computing Systems & Applications,20180222,2018,,,113,118
COSMIC Function Points Evaluation for Software Maintenance,"University of Southern California, Los Angeles, California",Proceedings of the 11th Innovations in Software Engineering Conference,20180222,2018,,,1,11
"A Systematic Evaluation and Benchmark for Person Re-Identification: Features, Metrics, and Datasets","Electrical, Computer, and Systems Engineering, Rensselaer Polytechnic Institute, Troy, New York United States 12180 (e-mail: karans3@rpi.edu)",IEEE Transactions on Pattern Analysis and Machine Intelligence,,2018,Early Access,Early Access,1,1
Heuristics for vehicle routing problems: Current challenges and future prospects,Pontifical Catholic University of Rio de Janeiro Brazil,Proceedings of the Eighth International Symposium on Information and Communication Technology,20180219,2017,,,6,6
Functional Requirements-Based Automated Testing for Avionics,"Univ. of Oxford, Oxford, UK",2017 22nd International Conference on Engineering of Complex Computer Systems (ICECCS),20180215,2017,,,170,173
Workstation versus Free Open Source Software in radiology,"University Assistantce Complex of Salamanca, Salamanca, Spain",Proceedings of the 5th International Conference on Technological Ecosystems for Enhancing Multiculturality,20180129,2017,,,1,6
Pharo Git Thermite: A Visual Tool for Deciding to Weld a Pull Request,"Pleiad Lab, DCC, University of Chile",Proceedings of the 12th edition of the International Workshop on Smalltalk Technologies,20180129,2017,,,1,6
The complexity of microRNAs in human cancer,,Journal of Radiation Research,20180118,2016,57,S1,i106,i111
Who guards the guards? formal validation of the Arm v8-m architecture specification,"ARM, UK",Proceedings of the ACM on Programming Languages,20180115,2017,1,OOPSLA,1,24
Application of dynamic logistic regression with unscented Kalman filter in predictive coding,"Vista Analytics, Washington D.C., USA",2017 IEEE International Conference on Big Data (Big Data),20180115,2017,,,1381,1389
A Review of Recent Developments in NOMA & SCMA Schemes for 5G Technology,"Dept. Comput. Sci., King's Coll., London, UK","2017 16th International Symposium on Distributed Computing and Applications to Business, Engineering and Science (DCABES)",20180111,2017,,,55,59
Face Analysis in the Wild,"IMAGO Res. Group, Univ. Fed. do Parana, Curitiba, Brazil","2017 30th SIBGRAPI Conference on Graphics, Patterns and Images Tutorials (SIBGRAPI-T)",20180111,2017,,,9,16
Quantifying the Financial Value of Cloud Investments: A Systematic Literature Review,"Irish Centre for Cloud Comput. & Commerce, Dublin City Univ., Dublin, Ireland",2017 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),20171228,2017,,,194,201
Review on Firmware,"School of Electrical & Electronic Engineering, Universiti Sains Malaysia, Pulau Pinang, Malaysia","Proceedings of the International Conference on Imaging, Signal Processing and Communication",20171225,2017,,,186,190
The Register Allocation and Instruction Scheduling Challenge,"Departamento de Ci&#234;ncia da Computa&#231;&#227;o, Universidade Federal de Minas Gerais, Belo Horizonte, M.G., Brasil",Proceedings of the 21st Brazilian Symposium on Programming Languages,20171225,2017,,,1,9
Spark and Scala (keynote),"Databricks, USA",Proceedings of the 8th ACM SIGPLAN International Symposium on Scala,20171225,2017,,,1,1
IDE Plugins for Detecting Input-Validation Vulnerabilities,,2017 IEEE Security and Privacy Workshops (SPW),20171221,2017,,,143,146
"Encoding-Decoding-Based control and filtering of networked systems: insights, developments and opportunities","Department of Computer Science, Brunel University London, Uxbridge, Middlesex, UB8 3PH, United Kingdom",IEEE/CAA Journal of Automatica Sinica,20171220,2018,5,1,3,18
Domain-specific sentiment analysis approaches for code-mixed social network data,"Department of Information Technology, National Institute of Technology Karnataka, Surathkal, Mangalore - 575025, India","2017 8th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",20171214,2017,,,1,6
Flipping introductory programming classes using spinoza and agile pedagogy,"Computer Science Department, Brandeis University, Waltham, MA 02453, USA",2017 IEEE Frontiers in Education Conference (FIE),20171214,2017,,,1,9
A first look at mobile Ad-Blocking apps,"Data61, CSIRO",2017 IEEE 16th International Symposium on Network Computing and Applications (NCA),20171211,2017,,,1,8
Let's work together: Improving block-based environments by supporting synchronous collaboration,"Department of Computer Science, North Carolina State University, Raleigh, NC 27606",2017 IEEE Blocks and Beyond Workshop (B&B),20171130,2017,,,53,56
IntPTI: Automatic integer error repair with proper-type inference,"School of Software, TNLIST, KLISS, Tsinghua University, China",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),20171123,2017,,,996,1001
Artifact Evaluation: Is It a Real Incentive?,"Sch. of Comput. & Inf., Univ. of Pittsburgh, Pittsburgh, PA, USA",2017 IEEE 13th International Conference on e-Science (e-Science),20171116,2017,,,488,489
Practical Evaluation of Static Analysis Tools for Cryptography: Benchmarking Method and Case Study,"Inst. of Comput., State Univ. of Campinas, Campinas, Brazil",2017 IEEE 28th International Symposium on Software Reliability Engineering (ISSRE),20171116,2017,,,170,181
Sparse Coded Handcrafted and Deep Features for Colon Capsule Video Summarization,"Dept. of Comput. Sci., Norwegian Univ. of Sci. & Technol., Gjovik, Norway",2017 IEEE 30th International Symposium on Computer-Based Medical Systems (CBMS),20171113,2017,,,728,733
Anarchy or Order on the Streets: Review Based Characterization of Location Based Mobile Games,"University of Oulu, Oulu, Finland",Proceedings of the Annual Symposium on Computer-Human Interaction in Play,20171107,2017,,,101,113
Simulation software engineering: experiences and challenges,"University of Stuttgart, Germany",Proceedings of the 3rd International Workshop on Software Engineering for High Performance Computing in Computational Science and Engineering,20171107,2015,,,1,4
Security Smells in Android,"Software Composition Group, Univ. of Bern, Bern, Switzerland",2017 IEEE 17th International Working Conference on Source Code Analysis and Manipulation (SCAM),20171102,2017,,,121,130
Reverse Engineering Variability from Natural Language Documents: A Systematic Literature Review,"Otto-von-Guericke Universit&#228;t Magdeburg, Germany",Proceedings of the 21st International Systems and Software Product Line Conference - Volume A,20171009,2017,,,133,142
Scalable Video Summarization: A Comparative Study,"Dept. of Mathematics, Computer Science Division, Al-Azhar University, Cairo, Egypt",Proceedings of the International Conference on Compute and Data Analysis,20171009,2017,,,215,219
Android apps and user feedback: a dataset for software evolution and quality improvement,"University of Zurich, Switzerland",Proceedings of the 2nd ACM SIGSOFT International Workshop on App Market Analytics,20170914,2017,,,8,11
Towards triaging code-smell candidates via runtime scenarios and method-call dependencies,"WU Vienna, Austria",Proceedings of the XP2017 Scientific Workshops,20170914,2017,,,1,9
Using MDA to Automate the Integration of Virtual Platforms for System-Level Simulation,"Elettron. SpA, Rome, Italy",2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),20170911,2017,1,,268,277
A survey of rate control in HEVC and SHVC video encoding,"University of Texas at Arlington, USA",2017 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),20170907,2017,,,145,150
Investigating Spheres of Influence in Communication Design: Comparing the Citation Practices of Research Faculty and Industry Leaders,"Michigan State University, East Lansing, MI",Proceedings of the 34th ACM International Conference on the Design of Communication,20170907,2016,,,1,9
The Socket Store: An app model for the application-network interaction,"Foundation for Research and Technology - Hellas (FORTH), Greece",2017 IEEE Symposium on Computers and Communications (ISCC),20170904,2017,,,365,370
Business Documentation Derivation from Aspect-driven Enterprise Information Systems,"Faculty of Electrical Engineering, Czech Technical University in Prague, Technicka, Praha, CZ",Proceedings of the International Conference on Research in Adaptive and Convergent Systems,20170831,2016,,,153,158
Surveying Security Practice Adherence in Software Development,"Department of Computer Science, North Carolina State University, Raleigh, North Carolina",Proceedings of the Hot Topics in Science of Security: Symposium and Bootcamp,20170831,2017,,,85,94
Genetic improvement of computational biology software,"University College London, Gower Street, UK",Proceedings of the Genetic and Evolutionary Computation Conference Companion,20170831,2017,,,1657,1660
Refining interprocedural change-impact analysis using equivalence relations,"University of Illinois at Urbana-Champaign, USA",Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis,20170831,2017,,,318,328
Compressing deep neural networks for efficient visual inference,"Beijing Key Laboratory of IOT information Security, Institute of Information Engineering, Chinese Academy of Sciences",2017 IEEE International Conference on Multimedia and Expo (ICME),20170831,2017,,,667,672
Risk-based attack surface approximation: how much data is enough?,"Comput. Sci., NC State Univ., Raleigh, NC, USA",2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),20170824,2017,,,273,282
Review of Research on Student-Facing Learning Analytics Dashboards and Educational Recommender Systems,"Instructional Psychology and Technology Department, Brigham Young University, 150 MCKB, Provo, UT",IEEE Transactions on Learning Technologies,20171214,2017,10,4,405,418
Resource Management in Non-Orthogonal Multiple Access Networks for 5G and Beyond,"Univ. of York, York, UK",IEEE Network,20170728,2017,31,4,8,14
Network Coding in Relay-Based Device-to-Device Communications,,IEEE Network,20170728,2017,31,4,102,107
Automatic Analysis of Facial Actions: A Survey,"School of Computer Science, University of Nottingham, Nottingham, Nottinghamshire United Kingdom of Great Britain and Northern Ireland NG8 1BB (e-mail: brais.martinez@nottingham.ac.uk)",IEEE Transactions on Affective Computing,,2017,Early Access,Early Access,1,1
Challenges for Static Analysis of Java Reflection - Literature Review and Empirical Study,"Centrum Wiskunde & Inf., Amsterdam, Netherlands",2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),20170720,2017,,,507,518
To Type or Not to Type: Quantifying Detectable Bugs in JavaScript,"Univ. Coll. London, London, UK",2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),20170720,2017,,,758,769
Recommending and Localizing Change Requests for Mobile Apps Based on User Reviews,"Delft Univ. of Technol., Delft, Netherlands",2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),20170720,2017,,,106,117
A systematic review on the use of Definition of Done on agile software development projects,"Federal Institute of Para&#237;ba, Monteiro, Para&#237;ba, Brazil",Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering,20170711,2017,,,364,373
CSEPM - A Continuous Software Engineering Process Metamodel,"Tech. Univ. Munchen, Munich, Germany",2017 IEEE/ACM 3rd International Workshop on Rapid Continuous Software Engineering (RCoSE),20170707,2017,,,2,8
How Does Contributors' Involvement Influence the Build Status of an Open-Source Software Project?,"Fed. Univ. of Pernambuco, Recife, Brazil",2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),20170703,2017,,,475,478
Product Line Architecture Recovery: An Approach Proposal (Extended Abstract),,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),20170703,2017,,,481,482
Sentiment analysis on social media using morphological sentence pattern model,"Department of Computer and Information Sciences, Towson University, Towson, USA","2017 IEEE 15th International Conference on Software Engineering Research, Management and Applications (SERA)",20170703,2017,,,79,84
Developer-Related Factors in Change Prediction: An Empirical Assessment,"Univ. of Salerno, Salerno, Italy",2017 IEEE/ACM 25th International Conference on Program Comprehension (ICPC),20170629,2017,,,186,195
Comprehending Studies on Program Comprehension,"Otto-von-Guericke-Univ. Magdeburg, Magdeburg, Germany",2017 IEEE/ACM 25th International Conference on Program Comprehension (ICPC),20170629,2017,,,308,311
A study for extended regular expression-based testing,"College of Information and Computer, Shanghai Business School, Shanghai 201400, China",2017 IEEE/ACIS 16th International Conference on Computer and Information Science (ICIS),20170629,2017,,,821,826
An empirical study on the application of mutation testing for a safety-critical industrial software system,"Software Competence Center Hagenberg GmbH, Hagenberg, Austria",Proceedings of the Symposium on Applied Computing,20170626,2017,,,1401,1408
CSEPM: a continuous software engineering process metamodel,"Technische Universit&#228;t M&#252;nchen, Munich, Germany",Proceedings of the 3rd International Workshop on Rapid Continuous Software Engineering,20170626,2017,,,2,8
What We Say vs. What They Do: A Comparison of Middle-School Coding Camps in the CS Education Literature and Mainstream Coding Camps (Abstract Only),"Grinnell College, Grinnell, IA, USA",Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,20170511,2017,,,707,707
Using and Customizing Open-Source Runestone Ebooks for Computer Science Classes (Abstract Only),"Luther College, Decorah, IA, USA",Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,20170511,2017,,,741,741
The role of anxiety when learning to program: a systematic review of the literature,Maynooth University Ireland,Proceedings of the 16th Koli Calling International Conference on Computing Education Research,20170508,2016,,,61,70
FLINTS: a tool for architectural-level modeling of features in software systems,"Lero/CSIS, University of Limerick, Limerick, Ireland",Proccedings of the 10th European Conference on Software Architecture Workshops,20170424,2016,,,1,7
Software engineer education support system ALECSS utilizing DevOps tools,"Saga University, Saga, Japan",Proceedings of the 18th International Conference on Information Integration and Web-based Applications and Services,20170424,2016,,,209,213
Static Vulnerability Analysis for Secure Mobile Platforms,"Samsung R&D Institute India - Bangalore, Bagmane Constellation Business Park, Bengaluru, Karnataka, India",Proceedings of the 10th Innovations in Software Engineering Conference,20170424,2017,,,195,201
A survey of resources for introducing coding into schools,"University of Salamanca, Spain",Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality,20170424,2016,,,19,26
Process modeling for simulation: observations and open issues,"Brandenburg University of Technology, GERMANY",Proceedings of the 2016 Winter Simulation Conference,20170424,2016,,,1072,1083
Evaluation of feature descriptors for cancerous tissue recognition,"Department of Computer Science and Engineering, University of Minnesota, USA",2016 23rd International Conference on Pattern Recognition (ICPR),20170424,2016,,,1490,1495
A Survey of Dictionary Learning Algorithms for Face Recognition,"Bio-Computing Research Centre, Shenzhen Graduate School, Harbin Institute of Technology, Shenzhen, China",IEEE Access,20170602,2017,5,,8502,8514
I Know What You Coded Last Summer: Mining Candidate Expertise from GitHub Repositories,"TCS Research, Pune, India",Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,20170417,2017,,,299,302
Trends and issues in student-facing learning analytics reporting systems research,Brigham Young University,Proceedings of the Seventh International Learning Analytics & Knowledge Conference,20170417,2017,,,309,318
S-HOT: Scalable High-Order Tucker Decomposition,"POSTECH, Pohang, South Korea",Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,20170417,2017,,,761,770
Coding for Distributed Fog Computing,,IEEE Communications Magazine,20170414,2017,55,4,34,40
Effectiveness of code contribution: from patch-based to pull-request-based tools,"Peking University, China",Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,20170413,2016,,,871,882
Accessibility and Usability Evaluation of Rich Internet Applications,"University of Sao Paulo, Sao Carlos, Brazil",Proceedings of the 22nd Brazilian Symposium on Multimedia and the Web,20170413,2016,,,7,8
CALAPPA: a toolchain for mining Android applications,"Saarland University, Germany",Proceedings of the International Workshop on App Market Analytics,20170413,2016,,,22,25
Performances of Multitones for Ultra-Wideband Software-Defined Radar,"School of Engineering in the Systems, Power and Energy Group, University of Glasgow, Glasgow, U.K.",IEEE Access,20170515,2017,5,,6570,6588
Guiding Dynamic Symbolic Execution toward Unverified Program Executions,"Dept. of Comput. Sci., ETH Zurich, Zurich, Switzerland",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,144,155
The Sky Is Not the Limit: Multitasking Across GitHub Projects,"Dept. Comput. Sci., Univ. of California, Davis, Davis, CA, USA",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,994,1005
An Empirical Study of Blindness and Program Comprehension,"Dept. of Comput. Sci. & Eng., Univ. of Notre Dame, Notre Dame, IN, USA",2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),20170323,2016,,,683,685
Computing counter-examples for privilege protection losses using security models,"TCS Innovation Labs, Tata Consultancy Services & &#x00C9;cole Polytechnique de Montr&#x00E9;al, Canada","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20170323,2017,,,240,249
Discovering Important Source Code Terms,"Dept. of Comput. Sci. & Eng., Univ. of Notre Dame, Notre Dame, IN, USA",2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),20170323,2016,,,671,673
Nmag Micromagnetic Simulation Tool â€” Software Engineering Lessons Learned,"Univ. of Southampton, Southampton, UK",2016 IEEE/ACM International Workshop on Software Engineering for Science (SE4Science),20170316,2016,,,1,7
Auditing Code for Security Vulnerabilities with CodeSonar,,2016 IEEE Cybersecurity Development (SecDev),20170206,2016,,,154,154
Word embeddings for Arabic sentiment analysis,"Computer Science Department, Pace University, New York, USA",2016 IEEE International Conference on Big Data (Big Data),20170206,2016,,,3820,3825
Empirical evaluations of preprocessing parameters' impact on predictive coding's effectiveness,"Legal AT&T Services, Inc., Washington, D.C. USA",2016 IEEE International Conference on Big Data (Big Data),20170206,2016,,,1394,1401
Application of Non-Orthogonal Multiple Access in LTE and 5G Networks,,IEEE Communications Magazine,20170203,2017,55,2,185,191
Vulnerabilities and their surrounding ethical questions: a code of ethics for the private sector,"Zeronomicon Milan, Italy",2016 International Conference on Cyber Conflict (CyCon U.S.),20170202,2016,,,1,4
Understanding Code Smells in Android Applications,"Oregon State Univ., Corvallis, OR, USA",2016 IEEE/ACM International Conference on Mobile Software Engineering and Systems (MOBILESoft),20170126,2016,,,225,236
Helping Mobile Software Code Reviewers: A Study of Bug Repair and Refactoring Patterns,,2016 IEEE/ACM International Conference on Mobile Software Engineering and Systems (MOBILESoft),20170126,2016,,,34,35
Web Systems Quality Evolution,"ISCTE, ISTAR, Inst. Univ. de Lisboa, Lisbon, Portugal",2016 10th International Conference on the Quality of Information and Communications Technology (QUATIC),20170116,2016,,,248,253
Maintenance Effort Estimation for Open Source Software: A Systematic Literature Review,"Lab. for Internet Software Technol., Inst. of Software, Beijing, China",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),20170116,2016,,,32,43
A Proposal on Requirements for COSMIC FSM Automation from Source Code,"Comput. Eng. Dept., Hacettepe Univ., Ankara, Turkey",2016 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM-MENSURA),20170109,2016,,,195,200
EARec: Leveraging Expertise and Authority for Pull-Request Reviewer Recommendation in GitHub,"Zhejiang Univ., Hangzhou, China",2016 IEEE/ACM 3rd International Workshop on CrowdSourcing in Software Engineering (CSI-SE),20170109,2016,,,29,35
Model-Driven Development in Robotics Domain: A Systematic Literature Review,"Inst. Fed. Catarinense, Blumenau, Brazil","2016 X Brazilian Symposium on Software Components, Architectures and Reuse (SBCARS)",20161219,2016,,,151,160
Towards the Characterization of Monitor Smells in Adaptive Systems,"Dept. of Comput., Fed. Univ. of Sao Carlos, Sa&#x0308;o Carlos, Brazil","2016 X Brazilian Symposium on Software Components, Architectures and Reuse (SBCARS)",20161219,2016,,,51,60
Survey of Approaches for Handling Static Analysis Alarms,"Tata Res. Dev. & Design, Centre Tata Consultancy Services, Pune, India",2016 IEEE 16th International Working Conference on Source Code Analysis and Manipulation (SCAM),20161215,2016,,,157,166
A systematic mapping study on assessing computational thinking abilities,"Software Practices Laboratory, Federal University of Campina Grande, Departament of Exact Sciences, Federal University of Para&#x00ED;ba, Brazil",2016 IEEE Frontiers in Education Conference (FIE),20161201,2016,,,1,9
Modular architecture for code and metadata sharing,"University of Hong Kong, China",Proceedings of the 15th International Conference on Modularity,20161111,2016,,,106,117
Integrating software project resources using source code identifiers,"University of Waterloo, Canada",Companion Proceedings of the 36th International Conference on Software Engineering,20161111,2014,,,400,403
Leveraging informal documentation to summarize classes and methods in context,"Concordia University, Montr&#233;al, QC, Canada",Proceedings of the 37th International Conference on Software Engineering,20161111,2015,2,,639,642
Will they like this?: evaluating code contributions with language models,"Delft University of Technology, The Netherlands",Proceedings of the 12th Working Conference on Mining Software Repositories,20161111,2015,,,157,167
On the alignment of source code quality perspectives through experimentation: an industrial case,"Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil",Proceedings of the Third International Workshop on Conducting Empirical Studies in Industry,20161111,2015,,,26,33
"Twice the Bits, Twice the Trouble: Vulnerabilities Induced by Migrating to 64-Bit Platforms","TU Braunschweig, Braunschweig, Germany",Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,20161111,2016,,,541,552
NeedFeed: taming change notifications by modeling code relevance,"IBM Research India, New Delhi, India",Proceedings of the 29th ACM/IEEE international conference on Automated software engineering,20161111,2014,,,665,676
Risk-based attack surface approximation: poster,"North Carolina State University, Raleigh, NC",Proceedings of the Symposium and Bootcamp on the Science of Security,20161111,2016,,,121,123
Panel: Future Directions of Block-based Programming,"University of Kent, Canterbury, United Kingdom",Proceedings of the 47th ACM Technical Symposium on Computing Science Education,20161111,2016,,,315,316
Automated attack surface approximation,"North Carolina State University, USA",Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,20161111,2015,,,1063,1065
Learning to rank relevant files for bug reports using domain knowledge,"Ohio University, USA",Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,20161111,2014,,,689,699
Milware: Identification and Implications of State Authored Malicious Software,The George Washington University,Proceedings of the 2015 New Security Paradigms Workshop,20161111,2015,,,29,43
Collaborative Verification of Information Flow for a High-Assurance App Store,"University of Washington, Seattle, USA",Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security,20161111,2014,,,1092,1104
Mitigating Access Control Vulnerabilities through Interactive Static Analysis,"University of North Carolina at Charlotte, Charlotte, NC, USA",Proceedings of the 20th ACM Symposium on Access Control Models and Technologies,20161111,2015,,,199,209
SOMETHINGit: a prototyping library for live and sound improvisation,"Key Technology Laboratory, Software Research Associates, Inc. Tokyo, Japan",Proceedings of the 1st International Workshop on Live Programming,20161111,2013,,,11,14
Approximating attack surfaces with stack traces,"NCSU, Raleigh, North Carolina",Proceedings of the 37th International Conference on Software Engineering,20161111,2015,2,,199,208
"Defining Concepts, Practices, and Standards for K-12 CS (Abstract Only)","code.org, seattle, WA, USA",Proceedings of the 47th ACM Technical Symposium on Computing Science Education,20161111,2016,,,704,705
Compiler-Driven Software Speculation for Thread-Level Parallelism,"University of Manchester, Oxford Road",ACM Transactions on Programming Languages and Systems (TOPLAS),20161111,2016,38,2,1,45
On Synergies between Diversity and Task Decomposition in Constructing Complex Systems with GP,"Dalhousie University, Halifax, NS, Canada",Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion,20161111,2016,,,969,976
MODESTO: Data-centric Analytic Optimization of Complex Stencil Programs on Heterogeneous Architectures,"ETH, Zurich, Switzerland",Proceedings of the 29th ACM on International Conference on Supercomputing,20161111,2015,,,177,186
Software-security patterns: degree of maturity,"Universit&#228;t Bremen, Bremen, Germany",Proceedings of the 20th European Conference on Pattern Languages of Programs,20161111,2015,,,1,17
App store mining and analysis,"University College London, UK",Proceedings of the 3rd International Workshop on Software Development Lifecycle for Mobile,20161111,2015,,,1,2
SEWordSim: software-specific word similarity database,"Singapore Management University, Singapore",Companion Proceedings of the 36th International Conference on Software Engineering,20161111,2014,,,568,571
Birds of a Feather: Mapping Alice Curriculum to Standards (Abstract Only),"Carnegie Mellon University, Pittsburgh, PA, USA",Proceedings of the 46th ACM Technical Symposium on Computer Science Education,20161111,2015,,,692,692
Verified Secure Implementations for the HTTPS Ecosystem: Invited Talk,"Microsoft Research, Cambridge, United Kingdom",Proceedings of the 2016 ACM Workshop on Programming Languages and Analysis for Security,20161111,2016,,,89,89
Heterogeneous computing: what does it mean for compiler research?,"Nvidia Research, Santa Clara, CA, USA",ACM SIGPLAN Notices,20161111,2014,49,8,315,316
Batch Model for Batched Timestamps Data Analysis with Application to the SSA Disability Program,"Clinical Center/ National Institues of Health, Bethesda, MD, USA",Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,20161111,2016,,,343,352
Forking and coordination in multi-platform development: a case study,"Norwegian University of Science and Technology, Trondheim, Norway and Avaya Labs Research, Basking Ridge, NJ",Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,20161111,2014,,,1,10
A Descriptive Categorized Typology of Requisite Skills for Business Intelligence Professionals,"Department of Information Systems, University of Cape Town, South Africa",Proceedings of the Annual Conference of the South African Institute of Computer Scientists and Information Technologists,20161111,2016,,,1,10
ALETHEIA: Improving the Usability of Static Security Analysis,"IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security,20161111,2014,,,762,774
Where do experts look while doing 3D image segmentation,"Oregon State University, Meghan Kajihara, University of North Texas",Proceedings of the Ninth Biennial ACM Symposium on Eye Tracking Research & Applications,20161111,2016,,,171,174
