"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Software Analytics for Digital Games","T. Zimmermann","Microsoft Res., Redmond, WA, USA","2015 IEEE/ACM 4th International Workshop on Games and Software Engineering","20150730","2015","","","1","2","Software and its development generates an inordinate amount of data. Development activities such as check-ins, work items, bug reports, code reviews, and test executions are recorded in software repositories. User interactions that reflect how customers experience software are recorded in telemetry data, run-time traces, and log files and helps to track application and feature usage and expose performance and reliability. Software analytics takes this data and turns it into actionable insight to better inform decisions related to software. In this talk, I will summarize our efforts in the area of software analytics with a special focus on digital games. I will present several examples of games studies, which we have worked on at Microsoft Research such as how players are engaged in Project Gotham Racing, how skill develops over time in Halo Reach and Forza Motor sports, and the initial experience of game play. I will also point out important differences between games development and traditional software development. The work presented in this talk has been done by Nachi Nagappan, myself, and many others who have visited our group over the past years.","","Electronic:978-1-4673-7046-2; POD:978-1-4673-7047-9","10.1109/GAS.2015.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7169461","digital games;software analytics","Committees;Data mining;Games;Software;Software engineering;Software reliability;Telemetry","computer games;software engineering","Forza Motorsports;Halo Reach;Microsoft research;Nachi Nagappan;Project Gotham Racing;bug reports;check-ins;code reviews;digital games;log files;run-time traces;software analytics;software development;software repositories;telemetry data;test executions;work items","","0","","","","","","18-18 May 2015","","IEEE","IEEE Conferences"
"Keynote: Lessons and Insights from Tech Transfers at Microsoft by Christian Bird","","","2014 IEEE 4th Workshop on Mining Unstructured Data","20141211","2014","","","viii","ix","The author discussed how a risk assessment system went from a website with a few visits per day to a web-service service thousands of requests per day. He discussed the tradeoffs they faced and the design decisions they made to a system that automatically adds high expertise reviewers to code reviews. In addition, he discussed what they learned from the research projects that never succeeded at Tech Transfer. Finally, he proposed what he believe to be open problems in tech transfer and the way the research community interacts with software development practitioners today.","","Electronic:978-1-4799-6793-3; POD:978-1-4799-6794-0","10.1109/MUD.2014.6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980184","","","Web services;risk management;software engineering","Microsoft;Web site;Web-service;code reviews;risk assessment system;software development;tech transfers","","0","","","","","","30-30 Sept. 2014","","IEEE","IEEE Conferences"
"Improving manual analysis of automated code inspection results: Need and effectiveness","","","2013 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","20131219","2013","","","53","53","Automated code inspection using static analysis tools has been found to be useful and cost-effective over manual code reviews. This is due to ability of these tools to detect programming bugs (or defects) early in the software development cycle without running the code. Further, using sound static analysis tools, even large industry applications can be certified to be free of certain types of the programming bugs such as Division by Zero, Null/Illegal Dereference of a Pointer, Memory Leaks, and so on. In spite of these merits, as per various surveys, the static analysis tools are used infrequently and inconsistently in practice to ensure software quality. Large number of false alarms generated and the efforts required to manually analyze them are the primary reasons for this. Similar has been the experience of our team with the usage of these tools.","","Electronic:978-1-4799-2552-0; POD:978-1-4799-2553-7","10.1109/ISSREW.2013.6688867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6688867","","Computer bugs;Inspection;Manuals;Programming;Software quality","program diagnostics;software quality","automated code inspection results;manual analysis;manual code reviews;memory leaks;null-illegal pointer dereference;programming bugs;software development cycle;software quality;static analysis tools","","0","","","","","","4-7 Nov. 2013","","IEEE","IEEE Conferences"
"IPOL: Reviewed publication and public testing of research software","N. Limare; L. Oudre; P. Getreuer","CMLA, ENS Cachan, Cachan, France","2012 IEEE 8th International Conference on E-Science","20130110","2012","","","1","8","With the journal Image Processing On Line (IPOL), we propose to promote software to the status of regular research material and subject it to the same treatment as research papers: it must be reviewed, it must be reusable and verifiable by the research community, it must follow style and quality guidelines. In IPOL, algorithms are published with their implementation, codes are peer-reviewed, and a web-based test interface is attached to each of these articles. This results in more software released by the researchers, a better software quality achieved with the review process, and a large collection of test data gathered for each article. IPOL has been active since 2010, and has already published thirty articles.","","Electronic:978-1-4673-4466-1; POD:978-1-4673-4467-8","10.1109/eScience.2012.6404449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6404449","","Communities;Guidelines;Image processing;Licenses;Patents;Software;Software algorithms","Internet;program testing;research and development;software quality;user interfaces","IPOL;Web-based test interface;image processing on line;peer-reviewed codes;public testing;research software;reviewed publication;software quality","","1","","18","","","","8-12 Oct. 2012","","IEEE","IEEE Conferences"
"Evaluating awareness information in distributed collaborative editing by software-engineers","J. Schenk","Institute of Computer Science, Freie Universit&#x00E4;t Berlin, Germany","2012 First International Workshop on User Evaluation for Software Engineering Researchers (USER)","20120628","2012","","","35","38","In co-located collaborative software development activities like pair programming, side-by-side programming, code reviews or code walkthroughs, the individuals automatically gain a fine granular mutual understanding of where in the shared workspace the other participants are, what they are doing and what their levels of interest are. These points of so called awareness information are critical for an efficient and smooth collaboration but cannot be obtained via the natural mechanisms in virtual teams. Application sharing and groupware for collaborative editing are widely used for collaborative tasks in distributed software development but considered from the awareness and flexibility aspect they are far off the co-located setting. To better support virtual team collaboration by improving tools for distributed software development it is neccesary to evaluate awareness and its impacts to certain collaborative situations. Awareness itself is an invisible phenomenon and due to its intangible nature cannot be easily observed or measured. Thus we recorded virtual teams using Saros, a groupware for distributed collaborative party programming, respectively VNC and now analyse these videos using the grounded theory methodology. This approach for evaluating awareness leads to various problems concerning the recording setup and time exposure for analysis.","","Electronic:978-1-4673-1859-4; POD:978-1-4673-1858-7","10.1109/USER.2012.6226580","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226580","Application Sharing;CSCW;Collaborative Editing;Distributed Software Development;Groupware;Workspace Awareness","Collaborative software;Collaborative work;Programming;Synchronization;Videos;Virtual groups","distributed programming;groupware;software engineering;video recording","Saros;VNC;application sharing;awareness information evaluation;code reviews;code walkthroughs;colocated collaborative software development activities;distributed collaborative editing;distributed collaborative party programming;distributed software development;granular mutual understanding;grounded theory methodology;groupware;pair programming;recording setup;shared workspace;side-by-side programming;software engineers;time exposure;video analysis;virtual team collaboration","","1","","6","","","","5-5 June 2012","","IEEE","IEEE Conferences"
"Assessing the Impact of Using Fault Prediction in Industry","R. M. Bell; E. J. Weyuker; T. J. Ostrand","AT&T Labs. - Res., Florham Park, NJ, USA","2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops","20110714","2011","","","561","565","Software developers and testers need realistic ways to measure the practical effects of using fault prediction models to guide software quality improvement methods such as testing, code reviews, and refactoring. Will the availability of fault predictions lead to discovery of different faults, or to more efficient means of finding the same faults? Or do fault predictions have no practical impact at all? In this challenge paper we describe the difficulties of answering these questions, and the issues involved in devising meaningful ways to assess the impact of using prediction models. We present several experimental design options and discuss the pros and cons of each.","","Electronic:978-0-7695-4345-1; POD:978-1-4577-0019-4","10.1109/ICSTW.2011.75","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5954465","assessing causal effects;experimental design;industrial systems;software fault prediction;software testing","Computer bugs;Fault detection;Measurement;Predictive models;Software;Software testing","program testing;software reliability;system recovery","code reviews;fault-prediction;prediction models;software developers;software quality improvement methods","","2","","8","","","","21-25 March 2011","","IEEE","IEEE Conferences"
"Code Recommendation with Natural Language Tags and Other Heterogeneous Data","F. Qiu; W. Ge; X. Dai","National Key Laboratory for Novel Software Technology; Nanjing University, Nanjing, China","Proceedings of the 2017 International Conference on Computer Science and Artificial Intelligence","20180308","2017","","","137","142","<p>Recommender systems solve the problem of information overload by efficiently utilizing huge quantities of data and trying its best to predict potential preference which aims at a certain user. They are widely applied in numerous fields. However, hardly can we see a code recommender system for programmers though it is desperately expected. Raw data of the code are not so convenient to handle for the difference in structure and lack of relevance. Fortunately, in real world, there are abundant data affiliated to the code, such as context, tags, social relations of users and view histories. In this paper, we firstly formulate a new task of code recommendation. Then, we propose a hybrid linear algorithm for recommending source codes, in which we maximize the utility of multivariate heterogeneous auxiliary data with code. Experiments on the dataset from Code Review Community show that our proposed method works for the new code recommendation task. Our system is hopefully designed to be adaptive to new source of heterogeneous information, and hopefully performs better with more significant data and new inspired components.</p>","","","10.1145/3168390.3168407","","","Code Recommendation;Heterogeneous Data;Hybrid Linear Model;Recommender Systems","","","","","","","","","","","5-7 Dec. 2017","","ACM","ACM Conferences"
"Understanding Technical Debt at the Code Level from the Perspective of Software Developers","J. C. Rocha; V. Zapalowski; I. Nunes","Universidade Federal do Rio Grande do Sul (UFRGS), Porto Alegre, Brazil","Proceedings of the 31st Brazilian Symposium on Software Engineering","20180215","2017","","","64","73","<p>Keeping the source code clean and organized throughout the software development and evolution is a challenging task. Due to many factors, design choices that cause the overall code structure to decay may be made and implemented, so that benefits, such as reduced development time, can be obtained in the short term. In order to deal with these situations, the metaphor of technical debt emerged to allow such situations to be systematically managed. Although this concept is already known in academia, there are limited evidences that the industry widely adopts it. Therefore, this paper presents the results of a survey involving 74 participants that work in the Brazilian software industry, in order to understand why technical debt is introduced, eliminated and how it is managed in practice, with a focus on the code level. Our survey is not limited to the explicit management of technical debt but also includes the notion that the introduction of poor code without the awareness that it is a poor design choice can also become a debt. Such a code can be acknowledged as a debt to be paid as the software evolves. Our results show that overload of work and lack of time, together with pressure from the management, are the main reasons for the creation of technical debt. However, when participants evaluate other developers, they believe that inexperience also plays a key role. Moreover, the most effective practice to avoid the creation of technical debt is code review, in the opinion of participants.</p>","","","10.1145/3131151.3131164","","","Programming Best Practices;Survey;Technical Debt","","","","","","","","","","","20-22 Sept. 2017","","ACM","ACM Conferences"
"A reactive specification formalism for enhancing system development, analysis and adaptivity","A. Marron","Weizmann Institute of Science, Rehovot, Israel","Proceedings of the 15th ACM-IEEE International Conference on Formal Methods and Models for System Design","20180215","2017","","","161","164","<p>During system development, external reviewers, especially ones with expertise in the problem domain or in system and software engineering (SE), often contribute insights that up to that point were not noticed by the engineers and other project stakeholders. These reviewers apparently do so by employing special human competencies that presently are not, or even cannot be, automated. Consider, for example, the competencies that enable the following review comments about a home-assistant robot: (a) during code review: ""I see that the robot can defers command execution until it charges its battery for the task; When done charging, does the robot check if the action is still needed?""; (b) following a demo: ""Will the robot trip over a thin ,transparent phone cord?""; and (c) ""Some clear voice commands had to be repeated. Perhaps sometimes the robot isn't listening?"".</p>","","","10.1145/3127041.3127064","","","","","","","","","","","","","","Sept. 29 2017-Oct. 2 2017","","ACM","ACM Conferences"
"Towards Self-Verification in Finite Difference Code Generation","J. Hückelheim; Z. Luo; F. Luporini; N. Kukreja; M. Lange; G. Gorman; S. Siegel; M. Dwyer; P. Hovland","Imperial College London, London, UK","Proceedings of the First International Workshop on Software Correctness for HPC Applications","20171225","2017","","","42","49","<p>Code generation from domain-specific languages is becoming increasingly popular as a method to obtain optimised low-level code that performs well on a given platform and for a given problem instance. Ensuring the correctness of generated codes is crucial. At the same time, testing or manual inspection of the code is problematic, as the generated code can be complex and hard to read. Moreover, the generated code may change depending on the problem type, domain size, or target platform, making conventional code review or testing methods impractical. As a solution, we propose the integration of formal verification tools into the code generation process. We present a case study in which the CIVL verification tool is combined with the Devito finite difference framework that generates optimised stencil code for PDE solvers from symbolic equations. We show a selection of properties of the generated code that can be automatically specified and verified during the code generation process. Our approach allowed us to detect a previously unknown bug in the Devito code generation tool.</p>","","","10.1145/3145344.3145488","","","Code generation;Equivalence checking;Formal methods;HPC;Specification;Symbolic execution;Verification","","","","","","","","","","","12-17 Nov. 2017","","ACM","ACM Conferences"
"An Empirical Study of Reviewer Recommendation in Pull-based Development Model","C. Yang; X. Zhang; L. Zeng; Q. Fan; G. Yin; H. Wang","National Laboratory for Parallel and Distributed Processing, College of Computer, Changsha, Hunan, China","Proceedings of the 9th Asia-Pacific Symposium on Internetware","20171225","2017","","","1","6","<p>Code review is an important process to reduce code defects and improve software quality. However, in social coding communities using the pull-based model, everyone can submit code changes, which increases the required code review efforts. Therefore, there is a great need of knowing the process of code review and analyzing the pre-existing reviewer recommendation algorithms. In this paper, we do an empirical study about the PRs and their reviewers in Rails project. Moreover, we reproduce a popular and effective IR-based code reviewer recommendation algorithm and validate it on our dataset which contains 16,049 PRs. We find that the inactive reviewers are very important to code reviewing process, however, the pre-existing method's recommendation result strongly depends on the activeness of reviewers.</p>","","","10.1145/3131704.3131718","","","GitHub;code reviewer recommendation;pull request","","","","","","","","","","","23-23 Sept. 2017","","ACM","ACM Conferences"
"Sentiment Identification for Collaborative, Geographically Dispersed, Cross-Functional Software Development Teams","A. Patwardhan","DevOps AssetMark, Financial Inc., Concord, MA, USA","2017 IEEE 3rd International Conference on Collaboration and Internet Computing (CIC)","20171214","2017","","","20","26","The process of software development is a collaborative effort that may consist of various geographically dispersed teams. It involves extensive communication over emails, intra-company forums, blogs, surveys and code reviews. The high level of message and opinion exchange evokes positive and negative emotions regarding the software project delivery. This paper proposed techniques to identify the underlying emotion polarity across various collaborating teams by analyzing the communication during the software release cycle. It also evaluated whether there was a relation between emotion polarity and social factors and software artifacts such as gender, location of team, experience level, release duration, team size, code issue count and code review comments. The sentiment analysis was used to implement an emotion dashboard to measure the project success and emotional health across various cross-functional software development teams. 80% of the managers found the tool useful in improving the overall team morale and 70% managers found the dashboard useful for identifying the emotional health of the collaborating teams.","","Electronic:978-1-5386-2565-1; POD:978-1-5386-2566-8","10.1109/CIC.2017.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8181475","Emotion Aware Software Development Process and Monitoring;Emotion mining;Sentiment Analysis;Team collaboration","Business;Collaboration;Electronic mail;Feature extraction;Sentiment analysis;Software;Tools","project management;sentiment analysis;social aspects of automation;software development management;team working","collaborative effort;cross-functional software development teams;emotion dashboard;emotion polarity;geographically dispersed teams;opinion exchange;sentiment analysis;sentiment identification;software project delivery;software release cycle;team collaboration;team morale","","","","","","","","15-17 Oct. 2017","","IEEE","IEEE Conferences"
"Are One-Time Contributors Different? A Comparison to Core and Periphery Developers in FLOSS Repositories","A. Lee; J. C. Carver","Dept. of Comput. Sci., Univ. of Alabama, Tuscaloosa, AL, USA","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","20171211","2017","","","1","10","Context: Free/Libre Open Source Software (FLOSS) communities consist of different types of contributors. Core contributors and peripheral contributors work together to create a successful project, each playing a different role. One-Time Contributors (OTCs), who are on the very fringe of the peripheral developers, are largely unstudied despite offering unique insights into the development process. In a prior survey, we identified OTCs and discovered their motivations and barriers. Aims: The objective of this study is to corroborate the survey results and provide a better understand of OTCs. We compare OTCs to other peripheral and core contributors to determine whether they are distinct. Method: We mined data from the same code-review repository used to identify survey respondents in our previous study. After identifying each contributor as core, periphery, or OTC, we compared them in terms of patch size, time interval from submission to decision, the nature of their conversations, and patch acceptance rates. Results: We identified a continuum between core developers and OTCs. OTCs create smaller patches, face longer time intervals between patch submission and rejection, have longer review conversations, and face lower patch acceptance rates. Conversely, core contributors create larger patches, face shorter time intervals for feedback, have shorter review conversations, and have patches accepted at the highest rate. The peripheral developers fall in between the OTCs and the core contributors. Conclusion: OTCs do, in fact, face the barriers identified in our prior survey. They represent a distinct group of contributors compared to core and peripheral developers.","","Electronic:978-1-5090-4039-1; POD:978-1-5090-4040-7","10.1109/ESEM.2017.7","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169979","FLOSS;OTC;One-Time Contributors;repository mining","Computer bugs;Computer science;Data mining;Electronic mail;Face;Open source software","data mining;public domain software","Free/Libre Open Source Software communities;OTC;core contributors;core developers;development process;face longer time intervals;face shorter time intervals;one-time contributors;peripheral contributors;peripheral developers;periphery developers;playing a different role;time interval","","","","","","","","9-10 Nov. 2017","","IEEE","IEEE Conferences"
"File-Level Defect Prediction: Unsupervised vs. Supervised Models","M. Yan; Y. Fang; D. Lo; X. Xia; X. Zhang","Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","20171211","2017","","","344","353","Background: Software defect models can help software quality assurance teams to allocate testing or code review resources. A variety of techniques have been used to build defect prediction models, including supervised and unsupervised methods. Recently, Yang et al. [1] surprisingly find that unsupervised models can perform statistically significantly better than supervised models in effort-aware change-level defect prediction. However, little is known about relative performance of unsupervised and supervised models for effort-aware file-level defect prediction. Goal: Inspired by their work, we aim to investigate whether a similar finding holds in effort-aware file-level defect prediction. Method: We replicate Yang et al.'s study on PROMISE dataset with totally ten projects. We compare the effectiveness of unsupervised and supervised prediction models for effort-aware file-level defect prediction. Results: We find that the conclusion of Yang et al. [1] does not hold under within-project but holds under cross-project setting for file-level defect prediction. In addition, following the recommendations given by the best unsupervised model, developers needs to inspect statistically significantly more files than that of supervised models considering the same inspection effort (i.e., LOC). Conclusions: (a) Unsupervised models do not perform statistically significantly better than state-of-art supervised model under within-project setting, (b) Unsupervised models can perform statistically significantly better than state-ofart supervised model under cross-project setting, (c) We suggest that not only LOC but also number of files needed to be inspected should be considered when evaluating effort-aware filelevel defect prediction models.","","Electronic:978-1-5090-4039-1; POD:978-1-5090-4040-7","10.1109/ESEM.2017.48","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170121","Effortaware Defect Prediction;Inspection Effort;Replication Study","Data models;Inspection;Logistics;Measurement;Predictive models;Software;Software engineering","software quality","effort-aware change-level defect prediction;effort-aware file-level defect prediction;software defect models;supervised prediction models;unsupervised prediction models","","","","","","","","9-10 Nov. 2017","","IEEE","IEEE Conferences"
"Let's Talk Money: Evaluating the Security Challenges of Mobile Money in the Developing World","S. Castle; F. Pervaiz; G. Weld; F. Roesner; R. Anderson","University of Washington","Proceedings of the 7th Annual Symposium on Computing for Development","20170914","2016","","","1","10","<p>Digital money drives modern economies, and the global adoption of mobile phones has enabled a wide range of digital financial services in the developing world. Where there is money, there must be security, yet prior work on mobile money has identified discouraging vulnerabilities in the current ecosystem. We begin by arguing that the situation is not as dire as it may seem---many reported issues can be resolved by security best practices and updated mobile software. To support this argument, we diagnose the problems from two directions: (1) a large-scale analysis of existing financial service products and (2) a series of interviews with 7 developers and designers in Africa and South America. We frame this assessment within a novel, systematic threat model. In our large-scale analysis, we evaluate 197 Android apps and take a deeper look at 71 products to assess specific organizational practices. We conclude that although attack vectors are present in many apps, service providers are generally making intentional, security-conscious decisions. The developer interviews support these findings, as most participants demonstrated technical competency and experience, and all worked within established organizations with regimented code review processes and dedicated security teams.</p>","","","10.1145/3001913.3001919","","","Android;ICTD;finance;fraud;human factors;mBanking;mobile money","","","","","","","","","","","18-20 Nov. 2016","","ACM","ACM Conferences"
"An Empirical Study on the Correctness of Formally Verified Distributed Systems","P. Fonseca; K. Zhang; X. Wang; A. Krishnamurthy","University of Washington","Proceedings of the Twelfth European Conference on Computer Systems","20170831","2017","","","328","343","<p>Recent advances in formal verification techniques enabled the implementation of distributed systems with machine-checked proofs. While results are encouraging, the importance of distributed systems warrants a large scale evaluation of the results and verification practices.</p> <p>This paper thoroughly analyzes three state-of-the-art, formally verified implementations of distributed systems: Iron-Fleet, Verdi, and Chapar. Through code review and testing, we found a total of 16 bugs, many of which produce serious consequences, including crashing servers, returning incorrect results to clients, and invalidating verification guarantees. These bugs were caused by violations of a wide-range of assumptions on which the verified components relied. Our results revealed that these assumptions referred to a small fraction of the trusted computing base, mostly at the interface of verified and unverified components. Based on our observations, we have built a testing toolkit called PK, which focuses on testing these parts and is able to automate the detection of 13 (out of 16) bugs.</p>","","","10.1145/3064176.3064183","","","","","","","","","","","","","","23-26 April 2017","","ACM","ACM Conferences"
"E-Mentoring for Software Engineering: a Socio-Technical Perspective","E. H. Trainer; A. Kalyanasundaram; J. D. Herbsleb","Inst. for Software Res., Carnegie Mellon Univ., Pittsburgh, PA, USA","2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track (ICSE-SEET)","20170824","2017","","","107","116","Mentoring is one of the most effective pedagogical tools, holding great promise for software engineering education. When done badly, however, it can lead to dysfunctional interpersonal relationships and may turn off mentees from careers in software engineering. In this qualitative interview-based study we examine how socio-technical dimensions of software impact the formation of social ties important for satisfying two goals of mentorship, building technical skill and interpersonal development. We find that mentees working on user facing, interdependent software form a balance of ties that facilitate both goals, while mentees working on non-user facing software mostly form ties important for building technical skill. Work practices that create opportunities for unstructured contact between mentees and community members, such as code review in a mentee cohort, can help to overcome this imbalance. Our findings have important implications for task definition in software engineering e-mentoring program schemes.","","Electronic:978-1-5386-2671-9; POD:978-1-5386-2672-6","10.1109/ICSE-SEET.2017.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7964335","E-mentoring;expressive ties;free and open-source software;instrumental ties;qualitative methods;tie content","Engineering profession;Mentoring;Organizations;Social network services;Software;Software engineering","computer science education;social aspects of automation;software engineering","community members;e-mentoring program;interdependent software;interpersonal development;mentees;nonuser facing software;qualitative interview-based study;social ties;sociotechnical dimensions;software engineering education;software impact;technical skill;user facing software","","","","","","","","20-28 May 2017","","IEEE","IEEE Conferences"
"Eliph: Effective Visualization of Code History for Peer Assessment in Programming Education","J. Park; Y. H. Park; S. Kim; A. Oh","Korea Advanced Institute of Science and Technology, Daejoen, Republic of Korea","Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing","20170417","2017","","","33","36","<p>Peer assessment is an effective pedagogical tool in which students engage in the process of evaluating other student's work. In programming education, peer assessment involves peer code review, where students mark and give feedback other peer's code. We introduce Eliph, a web-based peer assessment tool for programming education with code history visualization. Eliph incorporates the visualization of character-level code history, selection-based history tracking and the integration of execution events. In a controlled experiment performed in an undergraduate CS course, we found that Eliph helps students understand code structure and the author's intention more clearly, and promotes higher quality of peer feedback.</p>","","","10.1145/3022198.3023266","","","code history;data visualization;peer assessment;peer review;time series visualization","","","","","","","","","","","Feb. 25 2017-March 1 2017","","ACM","ACM Conferences"
"Effective assignment and assistance to software developers and reviewers","M. B. Zanjani","Wichita State University, USA","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","20170413","2016","","","1091","1093","<p> Human reliance and dominance are ubiquitous in sustaining a high-quality large software system. Automatically assigning the right solution providers to the maintenance task at hand is arguably as important as providing the right tool support for it, especially in the far too commonly found state of inadequate or obsolete documentation of large-scale software systems. Two maintenance tasks related to assignment and assistance to software developers and reviewers are addressed, and solutions are proposed. The key insight behind these proposed solutions is the analysis and use of micro-levels of human-to-code and human-to-human interactions (eg., code review). We analyzed code reviews that are managed by Gerrit and found different markers of developer expertise associated with the source code changes and their acceptance, time line, and human roles and feedback involved in the reviews. We formed a developer-expertise model from these markers and showed its application in bug triaging. Specifically, we derived a developer recommendation approach for an incoming change request, named rDevX , from this expertise model. Additionally, we present an approach, namely cHRev, to automatically recommend reviewers who are best suited to participate in a given review, based on their historical contributions as demonstrated in their prior reviews. Furthermore, a comparative study on other previous approaches for developer recommendation and reviewer recommendation was performed. The metrics recall and MRR were used to measure their quantitative effectiveness. Results show that the proposed approaches outperform the subjected competitors with statistical significance. </p>","","","10.1145/2950290.2983960","","","Developer Recommendation;Reviewer recommendation","","","","","","","","","","","13-18 Nov. 2016","","ACM","ACM Conferences"
"Developer workflow at google (showcase)","C. Sadowski","Google, USA","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","20170413","2016","","","26","26","<p> This talk describes the developer workflow at Google, and our use of program analysis, testing, metrics, and tooling to reduce errors when creating and committing changes to source code. Software development at Google has several unique characteristics such as our monolithic codebase and distributed hermetic build system. Changes are vetted both manually, via our internal code review tool, and automatically, via sources such as the Tricorder program analysis platform and our automated testing infrastructure. </p>","","","10.1145/2950290.2994156","","","Developer tools;developer workflow","","","","","","","","","","","13-18 Nov. 2016","","ACM","ACM Conferences"
"CORRECT: Code Reviewer Recommendation in GitHub Based on Cross-Project and Technology Experience","M. M. Rahman; C. K. Roy; J. A. Collins","Univ. of Saskatchewan, Saskatoon, SK, Canada","2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C)","20170323","2016","","","222","231","Peer code review locates common coding rule violations and simple logical errors in the early phases of software development, and thus reduces overall cost. However, in GitHub, identifying an appropriate code reviewer for a pull request is a non-trivial task given that reliable information for reviewer identification is often not readily available. In this paper, we propose a code reviewer recommendation technique that considers not only the relevant cross-project work history (e.g., external library experience) but also the experience of a developer in certain specialized technologies associated with a pull request for determining her expertise as a potential code reviewer. We first motivate our technique using an exploratory study with 10 commercial projects and 10 associated libraries external to those projects. Experiments using 17,115 pull requests from 10 commercial projects and six open source projects show that our technique provides 85%-92% recommendation accuracy, about 86% precision and 79%--81% recall in code reviewer recommendation, which are highly promising. Comparison with the state-of-the-art technique also validates the empirical findings and the superiority of our recommendation technique.","","Electronic:978-1-4503-4205-6; POD:978-1-5090-2245-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883306","Code reviewer recommendation;GitHub;cross-project experience;pull request;specialized technology experience","Collaboration;Companies;Encoding;History;Libraries;Servers;Software","configuration management;public domain software;recommender systems","CORRECT;GitHub;code reviewer recommendation technique;cross-project work history;open source projects","","","","","","","","14-22 May 2016","","IEEE","IEEE Conferences"
"Towards Property Driven Hardware Security","W. Hu; A. Althoff; A. Ardeshiricham; R. Kastner","Dept. of Comput. Sci. & Eng., Univ. of California, San Diego, La Jolla, CA, USA","2016 17th International Workshop on Microprocessor and SOC Test and Verification (MTV)","20170320","2016","","","51","56","Secure hardware design is a challenging task due to the fact that security properties are difficult or impossible to model and subsequently verify using traditional hardware design tools. The ""state of the art"" for hardware design security relies heavily on functional verification, manual inspection, and code review to identify security vulnerabilities. This labor intensive process significantly reduces productivity while proving no guarantee that a security flaw will be identified. In this paper, we describe a property driven approach to hardware security, which allows automatic synthesis and verification of both qualitative and quantitative security properties. We address hardware security by enforcing information flow and statistical security properties. By incorporating a new security property specification language, such security properties can be specified, translated and verified using hardware design tools. We present design examples to demonstrate our property driven hardware security solution for proving isolation, detecting timing channel, eliminating hardware Trojan, and enforcing security related statistical properties.","","Electronic:978-1-4673-8924-2; POD:978-1-4673-8925-9","10.1109/MTV.2016.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7880823","","Computational modeling;Encryption;Hardware;Logic gates;Timing;Trojan horses","security","hardware Trojan;hardware design;hardware design tools;information flow;property driven hardware security;security properties;security vulnerabilities;timing channel","","","","","","","","12-13 Dec. 2016","","IEEE","IEEE Conferences"
