Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Good technology makes the difficult task easy,A. Terekhov,"Saint-Petersburg State University, Russia",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,683,686,<p> A new language for chip design is presented. The main advantages of the language are explicit conveyer and parallel features fully controlled by the author of chip design. Non trivial industrial example is under discussion. There are run-time estimations and comparison with traditional programming in C. </p>,,,10.1145/2491411.2494571,,,CoDesign;Hardware design;VHDL;Verilog;pipeline,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
API change and fault proneness: a threat to the success of Android apps,M. Linares-Víçsquez; G. Bavota; C. Bernal-Cíçrdenas; M. Di Penta; R. Oliveto; D. Poshyvanyk,"College of William and Mary, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,477,487,"<p> During the recent years, the market of mobile software applications (apps) has maintained an impressive upward trajectory. Many small and large software development companies invest considerable resources to target available opportunities. As of today, the markets for such devices feature over 850K+ apps for Android and 900K+ for iOS. Availability, cost, functionality, and usability are just some factors that determine the success or lack of success for a given app. Among the other factors, reliability is an important criteria: users easily get frustrated by repeated failures, crashes, and other bugs; hence, abandoning some apps in favor of others. </p> <p> This paper reports a study analyzing how the fault- and change-proneness of APIs used by 7,097 (free) Android apps relates to applications' lack of success, estimated from user ratings. Results of this study provide important insights into a crucial issue: making heavy use of fault- and change-prone APIs can negatively impact the success of these apps. </p>",,,10.1145/2491411.2491428,,,API changes;Android;Empirical Studies;Mining Software Repositories,,,,,38,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Lexical statistical machine translation for language migration,A. T. Nguyen; T. T. Nguyen; T. N. Nguyen,"Iowa State University, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,651,654,"<p> Prior research has shown that source code also exhibits naturalness, i.e. it is written by humans and is likely to be repetitive. The researchers also showed that the n-gram language model is useful in predicting the next token in a source file given a large corpus of existing source code. In this paper, we investigate how well statistical machine translation (SMT) models for natural languages could help in migrating source code from one programming language to another. We treat source code as a sequence of lexical tokens and apply a phrase-based SMT model on the lexemes of those tokens. Our empirical evaluation on migrating two Java projects into C# showed that lexical, phrase-based SMT could achieve high lexical translation accuracy (BLEU from 81.3-82.6%). Users would have to manually edit only 11.9-15.8% of the total number of tokens in the resulting code to correct it. However, a high percentage of total translation methods (49.5-58.6%) is syntactically incorrect. Therefore, our result calls for a more program-oriented SMT model that is capable of better integrating the syntactic and semantic information of a program to support language migration. </p>",,,10.1145/2491411.2494584,,,Language Migration;Statistical Machine Translation,,,,,6,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
PHRT: a model and programmable tool for hardware reengineering automation,O. Nenashev,"Saint Petersburg State Polytechnical University, Russia",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,719,722,"<p> Hardware reengineering is a highly resource-consuming process of development cycle, so it is important to automate reengineering in order to reduce costs and provide reusable solutions. There are many specialized electronic design automation (EDA) tools for specific cases, but only few programmable tools supporting implementation of user-specific reengineering operations. </p> <p> This paper presents PhD research, which aims development of such Programmable Hardware Reengineering Tool (PHRT), which can be useful for small hardware-design companies and research groups, who have specific recurrent tasks and cannot afford development of automation tools äóìfrom scratchäóù. </p> <p> We propose HDL-independent äóìhybridäóù device representation model for automated analysis and transformation, which combines low-level structural descriptions (netlists) with features from high-level hardware description languages (HDLs). Such model supports parallel analysis and transformation of multiple description layers at once. In our research we present PHRT prototype, which is an extendable core, which provides basic functionality for import/export, analysis, editing and transformation of hybrid models. Its functionality can be extended by extensions and script programs. </p> <p> At the current state, PHRT prototype is being successfully used by several Russian hardware-design companies. Test results have proven applicability of PHRT as a good framework for user-specific reengineering cases like testing instrumentation and reliability assurance (memory replacement, structural redundancy insertion, etc.). </p>",,,10.1145/2491411.2492406,,,Hardware reengineering;electronic design automation;extensible toolkit;hybrid device model;test insertion;verification platform,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Producing software by integration: challenges and research directions (keynote),P. Inverardi; M. Autili; D. Di Ruscio; P. Pelliccione; M. Tivoli,"University of l&#039;Aquila, Italy",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,2,12,"<p> Software is increasingly produced according to a certain goal and by integrating existing software produced by third-parties, typically black-box, and often provided without a machine readable documentation. This implies that development processes of the next future have to explicitly deal with an inherent incompleteness of information about existing software, notably on its behaviour. Therefore, on one side a software producer will less and less know the precise behaviour of a third party software service, on the other side she will need to use it to build her own application. In this paper we present an innovative development process to automatically produce dependable software systems by integrating existing services under uncertainty and according to the specied goal. Moreover, we (i) discuss important challenges that must be faced while producing the kind of systems we are targeting, (ii) give an overview of the state of art related to the identied challenges, and finally (iii) provide research directions to address these challenges. </p>",,,10.1145/2491411.2505428,,,Dependable software systems;automated synthesis;model elicitation;model-driven engineering,,,,,1,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Mining behavior models from enterprise web applications,M. Schur; A. Roth; A. Zeller,"SAP, Germany",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,422,432,"<p> Today's enterprise web applications demand very high release cycles---and consequently, frequent tests. Automating these tests typically requires a behavior model: A description of the states the application can be in, the transitions between these states, and the expected results. Furthermore one needs scripts to make the abstract actions (transitions) in the model executable. As specifying such behavior models and writing the necessary scripts manually is a hard task, a possible alternative could be to extract them from existing applications. However, mining such models can be a challenge, in particular because one needs to know when two states are equivalent, as well as how to reach that state. We present ProCrawl (PROcess CRAWLer), a generic approach to mine behavior models from (multi-user) enterprise web applications. ProCrawl observes the behavior of the application through its user interface, generates and executes tests to explore unobserved behavior. In our evaluation of three non-trivial web applications (an open-source shop system, an SAP product compliance application, and an open-source conference manager), ProCrawl produces models that precisely abstract application behavior and which can be directly used for effective model-based regression testing. </p>",,,10.1145/2491411.2491426,,,Specification mining;dynamic analysis;model-based testing,,,,,7,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
SPLat: lightweight dynamic analysis for reducing combinatorics in testing configurable systems,C. H. P. Kim; D. Marinov; S. Khurshid; D. Batory; S. Souto; P. Barros; M. DeAmorim,"University of Texas at Austin, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,257,267,"<p> Many programs can be configured through dynamic and/or static selection of configuration variables. A software product line (SPL), for example, specifies a family of programs where each program is defined by a unique combination of features. Systematically testing SPL programs is expensive as it can require running each test against a combinatorial number of configurations. Fortunately, a test is often independent of many configuration variables and need not be run against every combination. Configurations that are not required for a test can be pruned from execution. This paper presents SPLat, a new way to dynamically prune irrelevant configurations: the configurations to run for a test can be determined during test execution by monitoring accesses to configuration variables. SPLat achieves an optimal reduction in the number of configurations and is lightweight compared to prior work that used static analysis and heavyweight dynamic execution. Experimental results on 10 SPLs written in Java show that SPLat substantially reduces the total test execution time in many cases. Moreover, we demonstrate the scalability of SPLat by applying it to a large industrial code base written in Ruby on Rails. </p>",,,10.1145/2491411.2491459,,,Automated testing;Configurable Systems;Efficiency;Software Product Lines,,,,,3,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Bayesian inference using data flow analysis,G. Claret; S. K. Rajamani; A. V. Nori; A. D. Gordon; J. Borgstrom,"INRIA, France",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,92,102,"<p> We present a new algorithm for Bayesian inference over probabilistic programs, based on data flow analysis techniques from the program analysis community. Unlike existing techniques for Bayesian inference on probabilistic programs, our data flow analysis algorithm is able to perform inference directly on probabilistic programs with loops. Even for loop-free programs, we show that data flow analysis offers better precision and better performance benefits over existing techniques. We also describe heuristics that are crucial for our inference to scale, and present an empirical evaluation of our algorithm over a range of benchmarks. </p>",,,10.1145/2491411.2491423,,,algebraic decision diagrams;data flow analysis;probabilistic programming,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Iterative test suites refinement for elastic computing systems,A. Gambi; A. Filieri; S. Dustdar,"University of Lugano, Switzerland",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,635,638,"<p> Elastic computing systems can dynamically scale to continuously and cost-effectively provide their required Quality of Service in face of time-varying workloads, and they are usually implemented in the cloud. Despite their wide-spread adoption by industry, a formal definition of elasticity and suitable procedures for its assessment and verification are still missing. Both academia and industry are trying to adapt established testing procedures for functional and non-functional properties, with limited effectiveness with respect to elasticity. In this paper we propose a new methodology to automatically generate test-suites for testing the elastic properties of systems. Elasticity, plasticity, and oscillations are first formalized through a convenient behavioral abstraction of the elastic system and then used to drive an iterative test suite refinement process. The outcomes of our approach are a test suite tailored to the violation of elasticity properties and a human-readable abstraction of the system behavior to further support diagnosis and fix. </p>",,,10.1145/2491411.2494579,,,Cloud;behavioral modeling;model-based testing,,,,,2,3,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Crossing the gap from imperative to functional programming through refactoring,A. Gyori; L. Franklin; D. Dig; J. Lahoda,"University of Illinois, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,543,553,"<p> Java 8 introduces two functional features: lambda expressions and functional operations like map or filter that apply a lambda expression over the elements of a Collection. Refactoring existing code to use these new features enables explicit but unobtrusive parallelism and makes the code more succinct. However, refactoring is tedious: it requires changing many lines of code. It is also error-prone: the programmer must reason about the control-, data-flow, and side-effects. Fortunately, refactorings can be automated. We designed and implemented LambdaFicator, a tool which automates two refactorings. The first refactoring converts anonymous inner classes to lambda expressions. The second refactoring converts for loops that iterate over Collections to functional operations that use lambda expressions. Using 9 open-source projects, we have applied these two refactorings 1263 and 1709 times, respectively. The results show that LambdaFicator is useful: (i) it is widely applicable, (ii) it reduces the code bloat, (iii) it increases programmer productivity, and (iv) it is accurate. </p>",,,10.1145/2491411.2491461,,,Fucntional Programming;Imperative Programming;Java 8;Lambda Expressions,,,,,6,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Agreements for software reuse in corporations,T. De Gooijer; H. Koziolek,"ABB Research, Sweden",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,679,682,"<p> Agreements for sharing of software between entities in a corporation have to be tailored to fit the situation. Such agreements are not legal documents and must address different issues than traditional software licenses. We found that these agreements should cover what is granted, payment, support, ownership and liability. In a case study we learned that an agreement should list its assumptions on the structure and processes of the software organization. The presented work enables others to create guidelines for software sharing agreements tailored to their organization and shares lessons about the differences between software product lines and corporate software sharing and reuse. </p>",,,10.1145/2491411.2494576,,,Software reuse;corporate agreements;software licensing,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Boosting concolic testing via interpolation,J. Jaffar; V. Murali; J. A. Navas,"National University of Singapore, Singapore",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,48,58,"<p> Concolic testing has been very successful in automatically generating test inputs for programs. However one of its major limitations is path-explosion that limits the generation of high coverage inputs. Since its inception several ideas have been proposed to attack this problem from various angles: defining search heuristics that increase coverage, caching of function summaries, pruning of paths using static/dynamic information etc. </p> <p> We propose a new and complementary method based on interpolation, that greatly mitigates path-explosion by subsuming paths that can be guaranteed to not hit a bug. We discuss new challenges in using interpolation that arise specifically in the context of concolic testing. We experimentally evaluate our method with different search heuristics using Crest, a publicly available concolic tester. </p>",,,10.1145/2491411.2491425,,,Concolic testing;interpolation;symbolic execution,,,,,5,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
The economics of static analysis tools,R. Kumar; A. V. Nori,"Microsoft Research, India",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,707,710,"<p> Static analysis tools have experienced a dichotomy over the span of the last decade. They have proven themselves to be useful in many domains, but at the same time have not (in general) experienced any notable concrete integration into a development environment. This is partly due to the inherent complexity of the tools themselves, as well as due to other intangible factors. Such factors usually tend to include questions about the return on investment of the tool and the value the tool provides in a development environment. In this paper, we present an empirical model for evaluating static analysis tools from the perspective of the economic value they provide. We further apply this model to a case study of the Static Driver Verier (SDV) tool that ships with the Windows Driver Kit and show the usefulness of the model and the tool. </p>",,,10.1145/2491411.2494574,,,cost;defects;economics;quality;sever-;static analysis tools,,,,,2,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Diversity in software engineering research,M. Nagappan; T. Zimmermann; C. Bird,"Queen&#8217;s University, Canada",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,466,476,"<p> One of the goals of software engineering research is to achieve generality: Are the phenomena found in a few projects reflective of others? Will a technique perform as well on projects other than the projects it is evaluated on? While it is common sense to select a sample that is representative of a population, the importance of diversity is often overlooked, yet as important. In this paper, we combine ideas from representativeness and diversity and introduce a measure called sample coverage, defined as the percentage of projects in a population that are similar to the given sample. We introduce algorithms to compute the sample coverage for a given set of projects and to select the projects that increase the coverage the most. We demonstrate our technique on research presented over the span of two years at ICSE and FSE with respect to a population of 20,000 active open source projects monitored by Ohloh.net. Knowing the coverage of a sample enhances our ability to reason about the findings of a study. Furthermore, we propose reporting guidelines for research: in addition to coverage scores, papers should discuss the target population of the research (universe) and dimensions that potentially can influence the outcomes of a research (space). </p>",,,10.1145/2491411.2491415,,,Coverage;Diversity;Representativeness;Sampling,,,,,16,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Automated oracles: an empirical study on cost and effectiveness,C. D. Nguyen; A. Marchetto; P. Tonella,"Fondazione Bruno Kessler, Italy",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,136,146,"<p> Software testing is an effective, yet expensive, method to improve software quality. Test automation, a potential way to reduce testing cost, has received enormous research attention recently, but the so-called äóìoracle problemäóù (how to decide the PASS/FAIL outcome of a test execution) is still a major obstacle to such cost reduction. We have extensively investigated state-of-the-art works that contribute to address this problem, from areas such as specification mining and model inference. In this paper, we compare three types of automated oracles: Data invariants, Temporal invariants, and Finite State Automata. More specifically, we study the training cost and the false positive rate; we evaluate also their fault detection capability. Seven medium to large, industrial application subjects and real faults have been used in our empirical investigation. </p>",,,10.1145/2491411.2491434,,,Automated Testing Oracles;Empirical Study;Specification Mining,,,,,8,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
SocialCDE: a social awareness tool for global software teams,F. Calefato; F. Lanubile,"University of Bari, Italy",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,587,590,"<p> We present SocialCDE, a tool that aims at augmenting Application Lifecycle Management (ALM) platforms with social awareness to facilitate the establishment of interpersonal connections and increase the likelihood of successful interactions by disclosing developersäó» personal interests and contextual information. </p>",,,10.1145/2491411.2494592,,,ALM;Application Lifecycle Management;Social awareness;Social networks;Trust,,,,,4,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
BugMap: a topographic map of bugs,J. Gong; H. Zhang,"Tsinghua University, China",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,647,650,"<p> A large and complex software system could contain a large number of bugs. It is desirable for developers to understand how these bugs are distributed across the system, so they could have a better overview of software quality. In this paper, we describe BugMap, a tool we developed for visualizing large-scale bug location information. Taken source code and bug data as the input, BugMap can display bug localizations on a topographic map. By examining the topographic map, developers can understand how the components and files are affected by bugs. We apply this tool to visualize the distribution of Eclipse bugs across components/files. The results show that our tool is effective for understanding the overall quality status of a large-scale system and for identifying the problematic areas of the system. </p>",,,10.1145/2491411.2494582,,,Software visualization;bug;bug location;topographic map,,,,,3,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Understanding gamification mechanisms for software development,D. J. Dubois; G. Tamburrelli,"Massachusetts Institute of Technology, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,659,662,"<p> In this paper we outline the idea to adopt gamification techniques to engage, train, monitor, and motivate all the players involved in the development of complex software artifacts, from the inception to the deployment and maintenance. The paper introduces the concept of gamification and proposes a research approach to understand how its principles may be successfully applied to the process of software development. Applying gamification to software engineering is not as straightforward as it may appear since it has to be casted to the peculiarities of this domain. Existing literature in the area has already recognized the possible use of such technology in the context of software development, however how to design and use gamification in this context is still an open question. This leads to several research challenges which are organized in a fascinating research agenda that is part of the contribution of this paper. Finally, to support the proposed ideas we present a preliminary experiment that shows the effect of gamification on the performance of students involved in a software engineering project. </p>",,,10.1145/2491411.2494589,,,Software development;gamification;reward;serious games,,,,,28,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Empirical answers to fundamental software engineering problems (panel),B. Meyer; H. Gall; M. Harman; G. Succi,"ETH Zurich, Switzerland / ITMO, Russia / Eiffel Software, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,14,18,<p> Can the methods of empirical software engineering give us answers to the truly important open questions in the field? </p>,,,10.1145/2491411.2505430,,,Empirical Software Engineering,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Fuzzy service matching in on-the-fly computing,M. C. Platenius,"University of Paderborn, Germany",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,715,718,"<p> In the future vision of software engineering, services from world-wide markets are composed automated in order to build custom-made systems. Supporting such scenarios requires an adequate service matching approach. Many existing approaches do not fulfill two key requirements of emerging concepts like On-The-Fly-Computing, namely (1) comprehensiveness, i.e., the consideration of different service views that cover not only functional properties, but also non-functional properties and (2) fuzzy matching, i.e., the ability to deliver gradual results in order to cope with a certain extent of uncertainty, incompleteness, and tolerance ranges. In this paper, I present a fuzzy matching process that distinguishes between different fuzziness sources and leverages fuzziness in different matching steps which consider several service views, e.g., behavior and quality properties. </p>",,,10.1145/2491411.2492405,,,Fuzzy Matching;On-The-Fly Computing;Service Matching;Service Specifications,,,,,2,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Enhancing symbolic execution with built-in term rewriting and constrained lazy initialization,P. Braione; G. Denaro; M. PezzíÂ,"University of Milano-Bicocca, Italy",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,411,421,"<p> Symbolic execution suffers from problems when analyzing programs that handle complex data structures as their inputs and take decisions over non-linear expressions. For these programs, symbolic execution may incur invalid inputs or unidentified infeasible traces, and may raise large amounts of false alarms. Some symbolic executors tackle these problems by introducing executable preconditions to exclude invalid inputs, and some solvers exploit rewrite rules to address non linear problems. In this paper, we discuss the core limitations of executable preconditions, and address these limitations by proposing invariants specifically designed to harmonize with the lazy initialization algorithm. We exploit rewrite rules applied within the symbolic executor, to address simplifications of inverse relationships fostered from either program-specific calculations or the logic of the verification tasks. We present a symbolic executor that integrates the two techniques, and validate our approach against the verification of a relevant set of properties of the Tactical Separation Assisted Flight Environment. The empirical data show that the integrated approach can improve the effectiveness of symbolic execution. </p>",,,10.1145/2491411.2491433,,,Software analysis;Symbolic execution,,,,,3,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Termination proofs from tests,A. V. Nori; R. Sharma,"Microsoft Research, India",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,246,256,"<p> We show how a test suite for a sequential program can be profitably used to construct a termination proof. In particular, we describe an algorithm TpT for proving termination of a program based on information derived from testing it. TpT iteratively calls two phases: (a) an infer phase, and (b) a validate phase. In the infer phase, machine learning, in particular, linear regression is used to efficiently compute a candidate loop bound for every loop in the program. These loop bounds are verified for correctness by an off-the-shelf checker. If a loop bound is invalid, then the safety checker provides a test or a counterexample that is used to generate more data which is subsequently used by the next infer phase to compute better estimates for loop bounds. On the other hand, if all loop bounds are valid, then we have a proof of termination. We also describe a simple extension to our approach that allows us to infer polynomial loop bounds automatically. We have evaluated TpT on two benchmark sets, micro-benchmarks obtained from recent literature on program termination, and Windows device drivers. Our results are promising -- on the micro-benchmarks, we show that TpT is able to prove termination on 15% more benchmarks than any previously known technique, and our evaluation on Windows device drivers demonstrates TpT's ability to analyze and scale to real world applications. </p>",,,10.1145/2491411.2491413,,,Machine learning;Software model checking;Termination,,,,,1,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Precision reuse for efficient regression verification,D. Beyer; S. Lí_we; E. Novikov; A. Stahlbauer; P. Wendler,"University of Passau, Germany",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,389,399,"<p> Continuous testing during development is a well-established technique for software-quality assurance. Continuous model checking from revision to revision is not yet established as a standard practice, because the enormous resource consumption makes its application impractical. Model checkers compute a large number of verification facts that are necessary for verifying if a given specification holds. We have identified a category of such intermediate results that are easy to store and efficient to reuse: abstraction precisions. The precision of an abstract domain specifies the level of abstraction that the analysis works on. Precisions are thus a precious result of the verification effort and it is a waste of resources to throw them away after each verification run. In particular, precisions are reasonably small and thus easy to store; they are easy to process and have a large impact on resource consumption. We experimentally show the impact of precision reuse on industrial verification problems created from 62 Linux kernel device drivers with 1119 revisions. </p>",,,10.1145/2491411.2491429,,,Formal Verification;Regression Checking,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Dynodroid: an input generation system for Android apps,A. Machiry; R. Tahiliani; M. Naik,"Georgia Tech, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,224,234,"<p> We present a system Dynodroid for generating relevant inputs to unmodified Android apps. Dynodroid views an app as an event-driven program that interacts with its environment by means of a sequence of events through the Android framework. By instrumenting the framework once and for all, Dynodroid monitors the reaction of an app upon each event in a lightweight manner, using it to guide the generation of the next event to the app. Dynodroid also allows interleaving events from machines, which are better at generating a large number of simple inputs, with events from humans, who are better at providing intelligent inputs. </p> <p> We evaluated Dynodroid on 50 open-source Android apps, and compared it with two prevalent approaches: users manually exercising apps, and Monkey, a popular fuzzing tool. Dynodroid, humans, and Monkey covered 55%, 60%, and 53%, respectively, of each app's Java source code on average. Monkey took 20X more events on average than Dynodroid. Dynodroid also found 9 bugs in 7 of the 50 apps, and 6 bugs in 5 of the top 1,000 free apps on Google Play. </p>",,,10.1145/2491411.2491450,,,Android;GUI testing;testing event-driven programs,,,,,76,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Identifying message flow in distributed event-based systems,J. Garcia; D. Popescu; G. Safi; W. G. J. Halfond; N. Medvidovic,"University of Southern California, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,367,377,"<p> Distributed event-based (DEB) systems contain highly-decoupled components that interact by exchanging messages. This enables flexible system composition and adaptation, but also makes DEB systems difficult to maintain. Most existing program analysis techniques to support maintenance are not well suited to DEB systems, while those that are tend to suffer from inaccuracy or make assumptions that limit their applicability. This paper presents Eos, a static analysis technique that identifies message information useful for maintaining a DEB system, namely, message types and message flow within a system. Eos has been evaluated on six off-the-shelf DEB systems spanning five different middleware platforms, and has exhibited excellent accuracy and efficiency. Furthermore, a case study involving a range of maintenance activities undertaken on three existing DEB systems shows that, on average, Eos enables an engineer to identify the scope and impact of required changes more accurately than existing alternatives. </p>",,,10.1145/2491411.2491462,,,distributed event-based systems;maintenance;message flow,,,,,4,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Scalable analysis of variable software,J. Liebig; A. von Rhein; C. Kestner; S. Apel; J. Dorre; C. Lengauer,"University of Passau, Germany",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,81,91,"<p> The advent of variability management and generator technology enables users to derive individual variants from a variable code base based on a selection of desired configuration options. This approach gives rise to the generation of possibly billions of variants that, however, cannot be efficiently analyzed for errors with classic analysis techniques. To address this issue, researchers and practitioners usually apply sampling heuristics. While sampling reduces the analysis effort significantly, the information obtained is necessarily incomplete and it is unknown whether sampling heuristics scale to billions of variants. Recently, researchers have begun to develop variability-aware analyses that analyze the variable code base directly exploiting the similarities among individual variants to reduce analysis effort. However, while being promising, so far, variability-aware analyses have been applied mostly only to small academic systems. To learn about the mutual strengths and weaknesses of variability-aware and sampling-based analyses of software systems, we compared the two strategies by means of two concrete analysis implementations (type checking and liveness analysis), applied them to three subject systems: Busybox, the x86 Linux kernel, and OpenSSL. Our key finding is that variability-aware analysis outperforms most sampling heuristics with respect to analysis time while preserving completeness. </p>",,,10.1145/2491411.2491437,,,C Preprocessor;Liveness Analysis;Software Product Lines;Type Checking;Variability-aware Analysis,,,,,17,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Data debugging with continuous testing,K. MuÅôlu; Y. Brun; A. Meliou,"University of Washington, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,631,634,"<p> Today, systems rely as heavily on data as on the software that manipulates those data. Errors in these systems are incredibly costly, annually resulting in multi-billion dollar losses, and, on multiple occasions, in death. While software debugging and testing have received heavy research attention, less effort has been devoted to data debugging: discovering system errors caused by well-formed but incorrect data. In this paper, we propose continuous data testing: using otherwise-idle CPU cycles to run test queries, in the background, as a user or database administrator modifies a database. This technique notifies the user or administrator about a data bug as quickly as possible after that bug is introduced, leading to at least three benefits: (1) The bug is discovered quickly and can be fixed before it is likely to cause a problem. (2) The bug is discovered while the relevant change is fresh in the user's or administrator's mind, increasing the chance that the underlying cause of the bug, as opposed to only the discovered side-effect, is fixed. (3) When poor documentation or company policies contribute to bugs, discovering the bug quickly is likely to identify these contributing factors, facilitating updating documentation and policies to prevent similar bugs in the future. We describe the problem space and potential benefits of continuous data testing, our vision for the technique, challenges we encountered, and our prototype implementation for PostgreSQL. The prototype's low overhead shows promise that continuous data testing can address the important problem of data debugging. </p>",,,10.1145/2491411.2494580,,,Database testing;continuous testing;data debugging,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
A statistical semantic language model for source code,T. T. Nguyen; A. T. Nguyen; H. A. Nguyen; T. N. Nguyen,"Iowa State University, USA",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,532,542,"<p> Recent research has successfully applied the statistical n-gram language model to show that source code exhibits a good level of repetition. The n-gram model is shown to have good predictability in supporting code suggestion and completion. However, the state-of-the-art n-gram approach to capture source code regularities/patterns is based only on the lexical information in a local context of the code units. To improve predictability, we introduce SLAMC, a novel statistical semantic language model for source code. It incorporates semantic information into code tokens and models the regularities/patterns of such semantic annotations, called sememes, rather than their lexemes. It combines the local context in semantic n-grams with the global technical concerns/functionality into an n-gram topic model, together with pairwise associations of program elements. Based on SLAMC, we developed a new code suggestion method, which is empirically evaluated on several projects to have relatively 18-68% higher accuracy than the state-of-the-art approach. </p>",,,10.1145/2491411.2491458,,,Code Completion;Statistical Semantic Language Model,,,,,16,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
Precise range analysis on large industry code,S. Kumar; B. Chimdyalwar; U. Shrotri,"Tata Consultancy Services, India",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,675,678,"<p> Abstract interpretation is widely used to perform static code analysis with non-relational (interval) as well as relational (difference-bound matrices, polyhedral) domains. Analysis using non-relational domains is highly scalable but delivers imprecise results, whereas, use of relational domains produces precise results but does not scale up. We have developed a tool that implements K-limited path sensitive interval domain analysis to get precise results without losing on scalability. The tool was able to successfully analyse 10 million lines of embedded code for different properties such as division by zero, array index out of bound (AIOB), overflow-underflow and so on. This paper presents details of the tool and results of our experiments for detecting AIOB property. A comparison with the existing tools in the market demonstrates that our tool is more precise and scales better. </p>",,,10.1145/2491411.2494569,,,Abstract Interpretation;Interval Domain;Range Analysis,,,,,,,,,,,18-26 Aug. 2013,,ACM,ACM Conferences
